KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
ISR,ISR,,Root,0,1,Goal,Root,ISR,8,No
ISR,CGO,ISR,div,1,9.3,Goal,Root/div,ISR/CGO,811,No
ISR,",null,",CGO,station,2,0.23,Goal,Root/div/station,"ISR/CGO/,null,",0,Yes
ISR,AAL,CGO,station,2,0.22,Goal,Root/div/station,ISR/CGO/AAL,0,Yes
ISR,AAT,CGO,station,2,0.0,Goal,Root/div/station,ISR/CGO/AAT,0,Yes
ISR,ABE,CGO,station,2,0.13,Goal,Root/div/station,ISR/CGO/ABE,0,Yes
ISR,ABJ,CGO,station,2,0.12,Goal,Root/div/station,ISR/CGO/ABJ,0,Yes
ISR,ABQ,CGO,station,2,0.04,Goal,Root/div/station,ISR/CGO/ABQ,0,Yes
ISR,ABR,CGO,station,2,0.03,Goal,Root/div/station,ISR/CGO/ABR,0,Yes
ISR,ABV,CGO,station,2,0.05,Goal,Root/div/station,ISR/CGO/ABV,0,Yes
ISR,ABY,CGO,station,2,0.19,Goal,Root/div/station,ISR/CGO/ABY,0,Yes
ISR,ABZ,CGO,station,2,0.02,Goal,Root/div/station,ISR/CGO/ABZ,0,Yes
ISR,ACC,CGO,station,2,0.02,Goal,Root/div/station,ISR/CGO/ACC,0,Yes
ISR,ACK,CGO,station,2,0.23,Goal,Root/div/station,ISR/CGO/ACK,0,Yes
ISR,ADB,CGO,station,2,0.22,Goal,Root/div/station,ISR/CGO/ADB,0,Yes
ISR,ADD,CGO,station,2,0.09,Goal,Root/div/station,ISR/CGO/ADD,0,Yes
ISR,ADL,CGO,station,2,0.24,Goal,Root/div/station,ISR/CGO/ADL,0,Yes
ISR,AES,CGO,station,2,0.07,Goal,Root/div/station,ISR/CGO/AES,0,Yes
ISR,AEX,CGO,station,2,0.1,Goal,Root/div/station,ISR/CGO/AEX,0,Yes
ISR,AGP,CGO,station,2,0.06,Goal,Root/div/station,ISR/CGO/AGP,0,Yes
ISR,AGS,CGO,station,2,0.18,Goal,Root/div/station,ISR/CGO/AGS,0,Yes
ISR,AKL,CGO,station,2,0.12,Goal,Root/div/station,ISR/CGO/AKL,0,Yes
ISR,ALA,CGO,station,2,0.2,Goal,Root/div/station,ISR/CGO/ALA,0,Yes
ISR,ALB,CGO,station,2,0.22,Goal,Root/div/station,ISR/CGO/ALB,0,Yes
ISR,ALC,CGO,station,2,0.05,Goal,Root/div/station,ISR/CGO/ALC,0,Yes
ISR,ALG,CGO,station,2,0.07,Goal,Root/div/station,ISR/CGO/ALG,0,Yes
ISR,ALK,CGO,station,2,0.03,Goal,Root/div/station,ISR/CGO/ALK,0,Yes
ISR,ALT,CGO,station,2,0.2,Goal,Root/div/station,ISR/CGO/ALT,0,Yes
ISR,AMD,CGO,station,2,0.13,Goal,Root/div/station,ISR/CGO/AMD,0,Yes
ISR,AMM,CGO,station,2,0.23,Goal,Root/div/station,ISR/CGO/AMM,0,Yes
ISR,AMR,CGO,station,2,0.18,Goal,Root/div/station,ISR/CGO/AMR,0,Yes
ISR,AMS,CGO,station,2,0.21,Goal,Root/div/station,ISR/CGO/AMS,0,Yes
ISR,ANC,CGO,station,2,0.03,Goal,Root/div/station,ISR/CGO/ANC,0,Yes
ISR,ANR,CGO,station,2,0.02,Goal,Root/div/station,ISR/CGO/ANR,0,Yes
ISR,ANU,CGO,station,2,0.07,Goal,Root/div/station,ISR/CGO/ANU,0,Yes
ISR,AOI,CGO,station,2,0.07,Goal,Root/div/station,ISR/CGO/AOI,0,Yes
ISR,APN,CGO,station,2,0.22,Goal,Root/div/station,ISR/CGO/APN,0,Yes
ISR,APW,CGO,station,2,0.17,Goal,Root/div/station,ISR/CGO/APW,0,Yes
ISR,ARM,CGO,station,2,0.17,Goal,Root/div/station,ISR/CGO/ARM,0,Yes
ISR,ARN,CGO,station,2,0.14,Goal,Root/div/station,ISR/CGO/ARN,0,Yes
ISR,ASD,CGO,station,2,0.08,Goal,Root/div/station,ISR/CGO/ASD,0,Yes
ISR,ASE,CGO,station,2,0.01,Goal,Root/div/station,ISR/CGO/ASE,0,Yes
ISR,ATG,CGO,station,2,0.13,Goal,Root/div/station,ISR/CGO/ATG,0,Yes
ISR,ATH,CGO,station,2,0.09,Goal,Root/div/station,ISR/CGO/ATH,0,Yes
ISR,ATJ,CGO,station,2,0.12,Goal,Root/div/station,ISR/CGO/ATJ,0,Yes
ISR,ATL,CGO,station,2,0.01,Goal,Root/div/station,ISR/CGO/ATL,0,Yes
ISR,ATO,CGO,station,2,0.08,Goal,Root/div/station,ISR/CGO/ATO,0,Yes
ISR,ATR,CGO,station,2,0.08,Goal,Root/div/station,ISR/CGO/ATR,0,Yes
ISR,ATT,CGO,station,2,0.23,Goal,Root/div/station,ISR/CGO/ATT,0,Yes
ISR,ATW,CGO,station,2,0.06,Goal,Root/div/station,ISR/CGO/ATW,0,Yes
ISR,ATY,CGO,station,2,0.01,Goal,Root/div/station,ISR/CGO/ATY,0,Yes
ISR,AUA,CGO,station,2,0.17,Goal,Root/div/station,ISR/CGO/AUA,0,Yes
ISR,AUH,CGO,station,2,0.04,Goal,Root/div/station,ISR/CGO/AUH,0,Yes
ISR,AUS,CGO,station,2,0.02,Goal,Root/div/station,ISR/CGO/AUS,0,Yes
ISR,AVL,CGO,station,2,0.15,Goal,Root/div/station,ISR/CGO/AVL,0,Yes
ISR,AVP,CGO,station,2,0.06,Goal,Root/div/station,ISR/CGO/AVP,0,Yes
ISR,AWK,CGO,station,2,0.17,Goal,Root/div/station,ISR/CGO/AWK,0,Yes
ISR,AZO,CGO,station,2,0.07,Goal,Root/div/station,ISR/CGO/AZO,0,Yes
ISR,BAH,CGO,station,2,0.08,Goal,Root/div/station,ISR/CGO/BAH,0,Yes
ISR,BAQ,CGO,station,2,0.19,Goal,Root/div/station,ISR/CGO/BAQ,0,Yes
ISR,BCN,CGO,station,2,0.04,Goal,Root/div/station,ISR/CGO/BCN,0,Yes
ISR,BDA,CGO,station,2,0.21,Goal,Root/div/station,ISR/CGO/BDA,0,Yes
ISR,BDL,CGO,station,2,0.08,Goal,Root/div/station,ISR/CGO/BDL,0,Yes
ISR,BEG,CGO,station,2,0.18,Goal,Root/div/station,ISR/CGO/BEG,0,Yes
ISR,BEO,CGO,station,2,0.2,Goal,Root/div/station,ISR/CGO/BEO,0,Yes
ISR,BER,CGO,station,2,0.12,Goal,Root/div/station,ISR/CGO/BER,0,Yes
ISR,BEY,CGO,station,2,0.12,Goal,Root/div/station,ISR/CGO/BEY,0,Yes
ISR,BFS,CGO,station,2,0.16,Goal,Root/div/station,ISR/CGO/BFS,0,Yes
ISR,BGF,CGO,station,2,0.2,Goal,Root/div/station,ISR/CGO/BGF,0,Yes
