KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
Inv_Comp,Inv_Comp,,Root,0,1,Goal,Root,Inv_Comp,1,No
Inv_Comp,GCS,Inv_Comp,div,1,100.0,Goal,Root/div,Inv_Comp/GCS,56,No
Inv_Comp,ANC,GCS,station,2,2.04,Goal,Root/div/station,Inv_Comp/GCS/ANC,2,No
Inv_Comp,",null,",ANC,vendor,3,46.72,Goal,Root/div/station/vendor,"Inv_Comp/GCS/ANC/,null,",1,No
Inv_Comp,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"Inv_Comp/GCS/ANC/,null,/Cabin",0,Yes
Inv_Comp,Pegasus,ANC,vendor,3,53.28,Goal,Root/div/station/vendor,Inv_Comp/GCS/ANC/Pegasus,1,No
Inv_Comp,Cabin,Pegasus,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,Inv_Comp/GCS/ANC/Pegasus/Cabin,0,Yes
Inv_Comp,ATL,GCS,station,2,1.61,Goal,Root/div/station,Inv_Comp/GCS/ATL,2,No
Inv_Comp,",null,",ATL,vendor,3,27.16,Goal,Root/div/station/vendor,"Inv_Comp/GCS/ATL/,null,",1,No
Inv_Comp,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"Inv_Comp/GCS/ATL/,null,/Cabin",0,Yes
Inv_Comp,Delta,ATL,vendor,3,72.84,Goal,Root/div/station/vendor,Inv_Comp/GCS/ATL/Delta,1,No
Inv_Comp,Cabin,Delta,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,Inv_Comp/GCS/ATL/Delta/Cabin,0,Yes
Inv_Comp,AUS,GCS,station,2,2.48,Goal,Root/div/station,Inv_Comp/GCS/AUS,2,No
Inv_Comp,",null,",AUS,vendor,3,20.42,Goal,Root/div/station/vendor,"Inv_Comp/GCS/AUS/,null,",1,No
Inv_Comp,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"Inv_Comp/GCS/AUS/,null,/Cabin",0,Yes
Inv_Comp,Unifi,AUS,vendor,3,79.58,Goal,Root/div/station/vendor,Inv_Comp/GCS/AUS/Unifi,1,No
Inv_Comp,Cabin,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,Inv_Comp/GCS/AUS/Unifi/Cabin,0,Yes
Inv_Comp,BNA,GCS,station,2,1.91,Goal,Root/div/station,Inv_Comp/GCS/BNA,3,No
Inv_Comp,",null,",BNA,vendor,3,20.65,Goal,Root/div/station/vendor,"Inv_Comp/GCS/BNA/,null,",1,No
Inv_Comp,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"Inv_Comp/GCS/BNA/,null,/Cabin",0,Yes
Inv_Comp,Prospect,BNA,vendor,3,70.97,Goal,Root/div/station/vendor,Inv_Comp/GCS/BNA/Prospect,1,No
Inv_Comp,Cabin,Prospect,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,Inv_Comp/GCS/BNA/Prospect/Cabin,0,Yes
Inv_Comp,Unifi,BNA,vendor,3,8.38,Goal,Root/div/station/vendor,Inv_Comp/GCS/BNA/Unifi,1,No
Inv_Comp,Cabin,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,Inv_Comp/GCS/BNA/Unifi/Cabin,0,Yes
Inv_Comp,BOS,GCS,station,2,3.82,Goal,Root/div/station,Inv_Comp/GCS/BOS,4,No
Inv_Comp,",null,",BOS,vendor,3,26.04,Goal,Root/div/station/vendor,"Inv_Comp/GCS/BOS/,null,",1,No
Inv_Comp,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"Inv_Comp/GCS/BOS/,null,/Cabin",0,Yes
Inv_Comp,G2,BOS,vendor,3,31.21,Goal,Root/div/station/vendor,Inv_Comp/GCS/BOS/G2,1,No
Inv_Comp,Cabin,G2,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,Inv_Comp/GCS/BOS/G2/Cabin,0,Yes
Inv_Comp,HHS Aviation,BOS,vendor,3,19.4,Goal,Root/div/station/vendor,Inv_Comp/GCS/BOS/HHS Aviation,1,No
Inv_Comp,Cabin,HHS Aviation,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,Inv_Comp/GCS/BOS/HHS Aviation/Cabin,0,Yes
Inv_Comp,Menzies Aviation,BOS,vendor,3,23.35,Goal,Root/div/station/vendor,Inv_Comp/GCS/BOS/Menzies Aviation,1,No
Inv_Comp,Cabin,Menzies Aviation,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,Inv_Comp/GCS/BOS/Menzies Aviation/Cabin,0,Yes
Inv_Comp,BWI,GCS,station,2,1.68,Goal,Root/div/station,Inv_Comp/GCS/BWI,2,No
Inv_Comp,",null,",BWI,vendor,3,49.82,Goal,Root/div/station/vendor,"Inv_Comp/GCS/BWI/,null,",1,No
Inv_Comp,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"Inv_Comp/GCS/BWI/,null,/Cabin",0,Yes
Inv_Comp,HHS Aviation,BWI,vendor,3,50.18,Goal,Root/div/station/vendor,Inv_Comp/GCS/BWI/HHS Aviation,1,No
Inv_Comp,Cabin,HHS Aviation,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,Inv_Comp/GCS/BWI/HHS Aviation/Cabin,0,Yes
Inv_Comp,CMH,GCS,station,2,1.41,Goal,Root/div/station,Inv_Comp/GCS/CMH,3,No
Inv_Comp,",null,",CMH,vendor,3,27.86,Goal,Root/div/station/vendor,"Inv_Comp/GCS/CMH/,null,",1,No
Inv_Comp,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"Inv_Comp/GCS/CMH/,null,/Cabin",0,Yes
Inv_Comp,Prospect,CMH,vendor,3,8.38,Goal,Root/div/station/vendor,Inv_Comp/GCS/CMH/Prospect,1,No
Inv_Comp,Cabin,Prospect,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,Inv_Comp/GCS/CMH/Prospect/Cabin,0,Yes
Inv_Comp,Unifi,CMH,vendor,3,63.76,Goal,Root/div/station/vendor,Inv_Comp/GCS/CMH/Unifi,1,No
Inv_Comp,Cabin,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,Inv_Comp/GCS/CMH/Unifi/Cabin,0,Yes
Inv_Comp,CVG,GCS,station,2,0.35,Goal,Root/div/station,Inv_Comp/GCS/CVG,2,No
Inv_Comp,",null,",CVG,vendor,3,37.12,Goal,Root/div/station/vendor,"Inv_Comp/GCS/CVG/,null,",1,No
Inv_Comp,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"Inv_Comp/GCS/CVG/,null,/Cabin",0,Yes
Inv_Comp,Unifi,CVG,vendor,3,62.88,Goal,Root/div/station/vendor,Inv_Comp/GCS/CVG/Unifi,1,No
Inv_Comp,Cabin,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,Inv_Comp/GCS/CVG/Unifi/Cabin,0,Yes
Inv_Comp,DCA,GCS,station,2,2.27,Goal,Root/div/station,Inv_Comp/GCS/DCA,2,No
Inv_Comp,",null,",DCA,vendor,3,76.61,Goal,Root/div/station/vendor,"Inv_Comp/GCS/DCA/,null,",1,No
Inv_Comp,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"Inv_Comp/GCS/DCA/,null,/Cabin",0,Yes
Inv_Comp,Eulen,DCA,vendor,3,23.39,Goal,Root/div/station/vendor,Inv_Comp/GCS/DCA/Eulen,1,No
Inv_Comp,Cabin,Eulen,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,Inv_Comp/GCS/DCA/Eulen/Cabin,0,Yes
Inv_Comp,DEN,GCS,station,2,1.79,Goal,Root/div/station,Inv_Comp/GCS/DEN,2,No
Inv_Comp,",null,",DEN,vendor,3,72.07,Goal,Root/div/station/vendor,"Inv_Comp/GCS/DEN/,null,",1,No
Inv_Comp,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"Inv_Comp/GCS/DEN/,null,/Cabin",0,Yes
Inv_Comp,Unifi,DEN,vendor,3,27.93,Goal,Root/div/station/vendor,Inv_Comp/GCS/DEN/Unifi,1,No
Inv_Comp,Cabin,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,Inv_Comp/GCS/DEN/Unifi/Cabin,0,Yes
Inv_Comp,DFW,GCS,station,2,3.34,Goal,Root/div/station,Inv_Comp/GCS/DFW,2,No
Inv_Comp,",null,",DFW,vendor,3,51.89,Goal,Root/div/station/vendor,"Inv_Comp/GCS/DFW/,null,",1,No
Inv_Comp,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"Inv_Comp/GCS/DFW/,null,/Cabin",0,Yes
Inv_Comp,HHS Aviation,DFW,vendor,3,48.11,Goal,Root/div/station/vendor,Inv_Comp/GCS/DFW/HHS Aviation,1,No
Inv_Comp,Cabin,HHS Aviation,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,Inv_Comp/GCS/DFW/HHS Aviation/Cabin,0,Yes
Inv_Comp,DTW,GCS,station,2,0.29,Goal,Root/div/station,Inv_Comp/GCS/DTW,3,No
Inv_Comp,",null,",DTW,vendor,3,40.19,Goal,Root/div/station/vendor,"Inv_Comp/GCS/DTW/,null,",1,No
Inv_Comp,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"Inv_Comp/GCS/DTW/,null,/Cabin",0,Yes
