KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
MDNA_ADT_MTD,MDNA_ADT_MTD,,Root,0,1,Goal,Root,MDNA_ADT_MTD,1,No
MDNA_ADT_MTD,OBS,MDNA_ADT_MTD,div,1,100.0,Goal,Root/div,MDNA_ADT_MTD/OBS,448,No
MDNA_ADT_MTD,",null,",OBS,caterer,2,0.12,Goal,Root/div/caterer,"MDNA_ADT_MTD/OBS/,null,",0,Yes
MDNA_ADT_MTD,ABM,OBS,caterer,2,0.3,Goal,Root/div/caterer,MDNA_ADT_MTD/OBS/ABM,0,Yes
MDNA_ADT_MTD,Aerococina,OBS,caterer,2,0.36,Goal,Root/div/caterer,MDNA_ADT_MTD/OBS/Aerococina,0,Yes
MDNA_ADT_MTD,AirChefs,OBS,caterer,2,0.44,Goal,Root/div/caterer,MDNA_ADT_MTD/OBS/AirChefs,0,Yes
MDNA_ADT_MTD,AirFayre,OBS,caterer,2,0.31,Goal,Root/div/caterer,MDNA_ADT_MTD/OBS/AirFayre,0,Yes
MDNA_ADT_MTD,Alpha,OBS,caterer,2,0.22,Goal,Root/div/caterer,MDNA_ADT_MTD/OBS/Alpha,0,Yes
MDNA_ADT_MTD,Aviation Tech Services,OBS,caterer,2,0.14,Goal,Root/div/caterer,MDNA_ADT_MTD/OBS/Aviation Tech Services,0,Yes
MDNA_ADT_MTD,Calloway,OBS,caterer,2,0.28,Goal,Root/div/caterer,MDNA_ADT_MTD/OBS/Calloway,0,Yes
MDNA_ADT_MTD,Canonica,OBS,caterer,2,0.05,Goal,Root/div/caterer,MDNA_ADT_MTD/OBS/Canonica,0,Yes
MDNA_ADT_MTD,CaribCater,OBS,caterer,2,0.37,Goal,Root/div/caterer,MDNA_ADT_MTD/OBS/CaribCater,0,Yes
MDNA_ADT_MTD,CasaProveedora,OBS,caterer,2,0.01,Goal,Root/div/caterer,MDNA_ADT_MTD/OBS/CasaProveedora,0,Yes
MDNA_ADT_MTD,CateringPor,OBS,caterer,2,0.25,Goal,Root/div/caterer,MDNA_ADT_MTD/OBS/CateringPor,0,Yes
MDNA_ADT_MTD,Chelsea,OBS,caterer,2,0.11,Goal,Root/div/caterer,MDNA_ADT_MTD/OBS/Chelsea,0,Yes
MDNA_ADT_MTD,CoDelAire,OBS,caterer,2,0.11,Goal,Root/div/caterer,MDNA_ADT_MTD/OBS/CoDelAire,0,Yes
MDNA_ADT_MTD,CoDeVuelos,OBS,caterer,2,0.25,Goal,Root/div/caterer,MDNA_ADT_MTD/OBS/CoDeVuelos,0,Yes
MDNA_ADT_MTD,CTA,OBS,caterer,2,0.28,Goal,Root/div/caterer,MDNA_ADT_MTD/OBS/CTA,0,Yes
MDNA_ADT_MTD,Dakar,OBS,caterer,2,0.15,Goal,Root/div/caterer,MDNA_ADT_MTD/OBS/Dakar,0,Yes
MDNA_ADT_MTD,DALC,OBS,caterer,2,0.27,Goal,Root/div/caterer,MDNA_ADT_MTD/OBS/DALC,0,Yes
MDNA_ADT_MTD,DEL,OBS,caterer,2,0.38,Goal,Root/div/caterer,MDNA_ADT_MTD/OBS/DEL,0,Yes
MDNA_ADT_MTD,Delta,OBS,caterer,2,0.43,Goal,Root/div/caterer,MDNA_ADT_MTD/OBS/Delta,0,Yes
MDNA_ADT_MTD,dnata,OBS,caterer,2,0.37,Goal,Root/div/caterer,MDNA_ADT_MTD/OBS/dnata,0,Yes
