KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
MDNA_ADT_YTD,MDNA_ADT_YTD,,Root,0,1,Goal,Root,MDNA_ADT_YTD,1,No
MDNA_ADT_YTD,OBS,MDNA_ADT_YTD,div,1,100.0,Goal,Root/div,MDNA_ADT_YTD/OBS,448,No
MDNA_ADT_YTD,",null,",OBS,caterer,2,0.32,Goal,Root/div/caterer,"MDNA_ADT_YTD/OBS/,null,",0,Yes
MDNA_ADT_YTD,ABM,OBS,caterer,2,0.04,Goal,Root/div/caterer,MDNA_ADT_YTD/OBS/ABM,0,Yes
MDNA_ADT_YTD,Aerococina,OBS,caterer,2,0.01,Goal,Root/div/caterer,MDNA_ADT_YTD/OBS/Aerococina,0,Yes
MDNA_ADT_YTD,AirChefs,OBS,caterer,2,0.04,Goal,Root/div/caterer,MDNA_ADT_YTD/OBS/AirChefs,0,Yes
MDNA_ADT_YTD,AirFayre,OBS,caterer,2,0.0,Goal,Root/div/caterer,MDNA_ADT_YTD/OBS/AirFayre,0,Yes
MDNA_ADT_YTD,Alpha,OBS,caterer,2,0.13,Goal,Root/div/caterer,MDNA_ADT_YTD/OBS/Alpha,0,Yes
MDNA_ADT_YTD,Aviation Tech Services,OBS,caterer,2,0.2,Goal,Root/div/caterer,MDNA_ADT_YTD/OBS/Aviation Tech Services,0,Yes
MDNA_ADT_YTD,Calloway,OBS,caterer,2,0.24,Goal,Root/div/caterer,MDNA_ADT_YTD/OBS/Calloway,0,Yes
MDNA_ADT_YTD,Canonica,OBS,caterer,2,0.11,Goal,Root/div/caterer,MDNA_ADT_YTD/OBS/Canonica,0,Yes
MDNA_ADT_YTD,CaribCater,OBS,caterer,2,0.03,Goal,Root/div/caterer,MDNA_ADT_YTD/OBS/CaribCater,0,Yes
MDNA_ADT_YTD,CasaProveedora,OBS,caterer,2,0.13,Goal,Root/div/caterer,MDNA_ADT_YTD/OBS/CasaProveedora,0,Yes
MDNA_ADT_YTD,CateringPor,OBS,caterer,2,0.02,Goal,Root/div/caterer,MDNA_ADT_YTD/OBS/CateringPor,0,Yes
MDNA_ADT_YTD,Chelsea,OBS,caterer,2,0.17,Goal,Root/div/caterer,MDNA_ADT_YTD/OBS/Chelsea,0,Yes
MDNA_ADT_YTD,CoDelAire,OBS,caterer,2,0.1,Goal,Root/div/caterer,MDNA_ADT_YTD/OBS/CoDelAire,0,Yes
