KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
MEL_INOP_RATE,MEL_INOP_RATE,,Root,0,1,Goal,Root,MEL_INOP_RATE,11,No
MEL_INOP_RATE,ACARS,MEL_INOP_RATE,defr_desc,1,0.24,Goal,Root/defr_desc,MEL_INOP_RATE/ACARS,0,Yes
MEL_INOP_RATE,APU_BLEED_INOP,MEL_INOP_RATE,defr_desc,1,14.35,Goal,Root/defr_desc,MEL_INOP_RATE/APU_BLEED_INOP,0,Yes
MEL_INOP_RATE,APU_INOP,MEL_INOP_RATE,defr_desc,1,14.88,Goal,Root/defr_desc,MEL_INOP_RATE/APU_INOP,0,Yes
MEL_INOP_RATE,CARGO_INOP,MEL_INOP_RATE,defr_desc,1,3.87,Goal,Root/defr_desc,MEL_INOP_RATE/CARGO_INOP,0,Yes
MEL_INOP_RATE,CAT_II_III,MEL_INOP_RATE,defr_desc,1,6.62,Goal,Root/defr_desc,MEL_INOP_RATE/CAT_II_III,0,Yes
MEL_INOP_RATE,ENGINE_BLEED_INOP,MEL_INOP_RATE,defr_desc,1,6.58,Goal,Root/defr_desc,MEL_INOP_RATE/ENGINE_BLEED_INOP,0,Yes
MEL_INOP_RATE,GENERATOR_INOP,MEL_INOP_RATE,defr_desc,1,9.36,Goal,Root/defr_desc,MEL_INOP_RATE/GENERATOR_INOP,0,Yes
MEL_INOP_RATE,LAV_INOP,MEL_INOP_RATE,defr_desc,1,13.01,Goal,Root/defr_desc,MEL_INOP_RATE/LAV_INOP,0,Yes
MEL_INOP_RATE,PACK_INOP,MEL_INOP_RATE,defr_desc,1,13.59,Goal,Root/defr_desc,MEL_INOP_RATE/PACK_INOP,0,Yes
MEL_INOP_RATE,SEAT_INOP,MEL_INOP_RATE,defr_desc,1,9.19,Goal,Root/defr_desc,MEL_INOP_RATE/SEAT_INOP,0,Yes
MEL_INOP_RATE,WATER_INOP,MEL_INOP_RATE,defr_desc,1,8.31,Goal,Root/defr_desc,MEL_INOP_RATE/WATER_INOP,0,Yes
