KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
MI19_NO_MEALS,MI19_NO_MEALS,,Root,0,1,Goal,Root,MI19_NO_MEALS,1,No
MI19_NO_MEALS,OBS,MI19_NO_MEALS,div,1,100.0,Goal,Root/div,MI19_NO_MEALS/OBS,175,No
MI19_NO_MEALS,Aerococina,OBS,caterer,2,0.77,Goal,Root/div/caterer,MI19_NO_MEALS/OBS/Aerococina,0,Yes
MI19_NO_MEALS,AirFayre,OBS,caterer,2,0.63,Goal,Root/div/caterer,MI19_NO_MEALS/OBS/AirFayre,0,Yes
MI19_NO_MEALS,Alpha,OBS,caterer,2,0.88,Goal,Root/div/caterer,MI19_NO_MEALS/OBS/Alpha,0,Yes
MI19_NO_MEALS,Canonica,OBS,caterer,2,0.13,Goal,Root/div/caterer,MI19_NO_MEALS/OBS/Canonica,0,Yes
MI19_NO_MEALS,CasaProveedora,OBS,caterer,2,0.86,Goal,Root/div/caterer,MI19_NO_MEALS/OBS/CasaProveedora,0,Yes
MI19_NO_MEALS,CateringPor,OBS,caterer,2,0.61,Goal,Root/div/caterer,MI19_NO_MEALS/OBS/CateringPor,0,Yes
MI19_NO_MEALS,Dakar,OBS,caterer,2,0.88,Goal,Root/div/caterer,MI19_NO_MEALS/OBS/Dakar,0,Yes
MI19_NO_MEALS,dnata,OBS,caterer,2,0.97,Goal,Root/div/caterer,MI19_NO_MEALS/OBS/dnata,0,Yes
MI19_NO_MEALS,DOCO,OBS,caterer,2,0.45,Goal,Root/div/caterer,MI19_NO_MEALS/OBS/DOCO,0,Yes
MI19_NO_MEALS,EFG,OBS,caterer,2,0.44,Goal,Root/div/caterer,MI19_NO_MEALS/OBS/EFG,0,Yes
MI19_NO_MEALS,EGSC,OBS,caterer,2,0.6,Goal,Root/div/caterer,MI19_NO_MEALS/OBS/EGSC,0,Yes
MI19_NO_MEALS,FlyFoodGrp,OBS,caterer,2,0.94,Goal,Root/div/caterer,MI19_NO_MEALS/OBS/FlyFoodGrp,0,Yes
MI19_NO_MEALS,GG,OBS,caterer,2,0.66,Goal,Root/div/caterer,MI19_NO_MEALS/OBS/GG,0,Yes
MI19_NO_MEALS,Goddard,OBS,caterer,2,0.61,Goal,Root/div/caterer,MI19_NO_MEALS/OBS/Goddard,0,Yes
MI19_NO_MEALS,IMC,OBS,caterer,2,0.65,Goal,Root/div/caterer,MI19_NO_MEALS/OBS/IMC,0,Yes
MI19_NO_MEALS,ISS,OBS,caterer,2,0.26,Goal,Root/div/caterer,MI19_NO_MEALS/OBS/ISS,0,Yes
MI19_NO_MEALS,LSG,OBS,caterer,2,0.38,Goal,Root/div/caterer,MI19_NO_MEALS/OBS/LSG,0,Yes
MI19_NO_MEALS,Mainline,OBS,caterer,2,0.03,Goal,Root/div/caterer,MI19_NO_MEALS/OBS/Mainline,0,Yes
MI19_NO_MEALS,Newrest,OBS,caterer,2,0.46,Goal,Root/div/caterer,MI19_NO_MEALS/OBS/Newrest,0,Yes
MI19_NO_MEALS,Servair,OBS,caterer,2,0.92,Goal,Root/div/caterer,MI19_NO_MEALS/OBS/Servair,0,Yes
MI19_NO_MEALS,ShanghaiEast,OBS,caterer,2,0.91,Goal,Root/div/caterer,MI19_NO_MEALS/OBS/ShanghaiEast,0,Yes
MI19_NO_MEALS,Sharp-DOCO,OBS,caterer,2,0.08,Goal,Root/div/caterer,MI19_NO_MEALS/OBS/Sharp-DOCO,0,Yes
MI19_NO_MEALS,SkyCater,OBS,caterer,2,0.61,Goal,Root/div/caterer,MI19_NO_MEALS/OBS/SkyCater,0,Yes
MI19_NO_MEALS,TFK,OBS,caterer,2,0.67,Goal,Root/div/caterer,MI19_NO_MEALS/OBS/TFK,0,Yes
MI19_NO_MEALS,Africa,OBS,continental_region,2,0.31,Goal,Root/div/continental_region,MI19_NO_MEALS/OBS/Africa,0,Yes
MI19_NO_MEALS,Asia,OBS,continental_region,2,0.69,Goal,Root/div/continental_region,MI19_NO_MEALS/OBS/Asia,0,Yes
MI19_NO_MEALS,Australia,OBS,continental_region,2,0.57,Goal,Root/div/continental_region,MI19_NO_MEALS/OBS/Australia,0,Yes
MI19_NO_MEALS,Europe,OBS,continental_region,2,0.31,Goal,Root/div/continental_region,MI19_NO_MEALS/OBS/Europe,0,Yes
MI19_NO_MEALS,Latin_America_Caribbean,OBS,continental_region,2,0.51,Goal,Root/div/continental_region,MI19_NO_MEALS/OBS/Latin_America_Caribbean,0,Yes
MI19_NO_MEALS,North_America,OBS,continental_region,2,0.28,Goal,Root/div/continental_region,MI19_NO_MEALS/OBS/North_America,0,Yes
