KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
MSI,MSI,,Root,0,1,Goal,Root,MSI,1,No
MSI,TOP,MSI,div,1,100.0,Goal,Root/div,MSI/TOP,24,No
MSI,Engine Maintenance,TOP,bu,2,1.94,Goal,Root/div/bu,MSI/TOP/Engine Maintenance,0,Yes
MSI,A220-ALL,TOP,hgst_fleet,2,0.51,Goal,Root/div/hgst_fleet,MSI/TOP/A220-ALL,0,Yes
MSI,A319,TOP,hgst_fleet,2,3.09,Goal,Root/div/hgst_fleet,MSI/TOP/A319,0,Yes
MSI,A330-ALL,TOP,hgst_fleet,2,4.82,Goal,Root/div/hgst_fleet,MSI/TOP/A330-ALL,0,Yes
MSI,A350-ALL,TOP,hgst_fleet,2,5.76,Goal,Root/div/hgst_fleet,MSI/TOP/A350-ALL,0,Yes
MSI,B717-200,TOP,hgst_fleet,2,0.92,Goal,Root/div/hgst_fleet,MSI/TOP/B717-200,0,Yes
MSI,B737-ALL,TOP,hgst_fleet,2,2.71,Goal,Root/div/hgst_fleet,MSI/TOP/B737-ALL,0,Yes
MSI,B757-ALL,TOP,hgst_fleet,2,5.69,Goal,Root/div/hgst_fleet,MSI/TOP/B757-ALL,0,Yes
MSI,B767-300,TOP,hgst_fleet,2,5.72,Goal,Root/div/hgst_fleet,MSI/TOP/B767-300,0,Yes
MSI,B767-400,TOP,hgst_fleet,2,6.47,Goal,Root/div/hgst_fleet,MSI/TOP/B767-400,0,Yes
MSI,1,TOP,history,2,6.74,Goal,Root/div/history,MSI/TOP/1,0,Yes
MSI,A221,TOP,lwst_fleet,2,4.04,Goal,Root/div/lwst_fleet,MSI/TOP/A221,0,Yes
MSI,A223,TOP,lwst_fleet,2,0.58,Goal,Root/div/lwst_fleet,MSI/TOP/A223,0,Yes
MSI,A321,TOP,lwst_fleet,2,1.72,Goal,Root/div/lwst_fleet,MSI/TOP/A321,0,Yes
MSI,A321CEO,TOP,lwst_fleet,2,0.96,Goal,Root/div/lwst_fleet,MSI/TOP/A321CEO,0,Yes
MSI,A321NEO,TOP,lwst_fleet,2,3.95,Goal,Root/div/lwst_fleet,MSI/TOP/A321NEO,0,Yes
MSI,A330-300,TOP,lwst_fleet,2,9.55,Goal,Root/div/lwst_fleet,MSI/TOP/A330-300,0,Yes
MSI,A330-900,TOP,lwst_fleet,2,4.0,Goal,Root/div/lwst_fleet,MSI/TOP/A330-900,0,Yes
MSI,A330CEO,TOP,lwst_fleet,2,6.79,Goal,Root/div/lwst_fleet,MSI/TOP/A330CEO,0,Yes
MSI,A330NEO,TOP,lwst_fleet,2,7.18,Goal,Root/div/lwst_fleet,MSI/TOP/A330NEO,0,Yes
MSI,A350-941,TOP,lwst_fleet,2,2.11,Goal,Root/div/lwst_fleet,MSI/TOP/A350-941,0,Yes
MSI,B737-800,TOP,lwst_fleet,2,8.64,Goal,Root/div/lwst_fleet,MSI/TOP/B737-800,0,Yes
MSI,B737-900,TOP,lwst_fleet,2,0.64,Goal,Root/div/lwst_fleet,MSI/TOP/B737-900,0,Yes
MSI,B737-900 (LION),TOP,lwst_fleet,2,5.470000000000001,Goal,Root/div/lwst_fleet,MSI/TOP/B737-900 (LION),0,Yes
