KPI_Name,parent,node,Tier,sys,ml_dc_1,ml_dc_2,fleet,frst_flt_ind,vendor,Baseline,Baseline_Num,Baseline_Den,Goal,Stretch,Contribution,Goal_Num,Goal_Den,Source,Goal_Yr,YTD_Num,YTD_Den
D0,,sys,1.0,sys,,,,,,68.29,1216960,1782050,71.7,5.00%,1.0,1277808.0,1782050,Goal Input,2027,1277808.0,1782050
D0,sys,DC,2.0,sys,DC,,,,,72.13,446980,619723,75.73,5.00%,0.36729226926110964,469329.0,619723,Goal Input,2027,469329.0,619723
D0,sys,DL,2.0,sys,DL,,,,,66.24,769980,1162327,69.56,5.00%,0.6327077307388903,808479.0,1162327,Goal Input,2027,808479.0,1162327
D0,sys/DC,9E,3.0,sys,DC,9E,,,,68.21,173872,254904,71.62,5.00%,0.38899279609825943,182565.6,254904,Cascaded,2027,182565.6,254904
D0,sys/DC,OO,3.0,sys,DC,OO,,,,76.2,202544,265791,80.01,5.00%,0.4531388429012484,212671.2,265791,Cascaded,2027,212671.2,265791
D0,sys/DC,YX,3.0,sys,DC,YX,,,,71.26,70564,99028,74.82,5.00%,0.1578683610004922,74092.2,99028,Cascaded,2027,74092.2,99028
D0,sys/DL,DL,3.0,sys,DL,DL,,,,66.24,769980,1162327,69.56,5.00%,1.0,808479.0,1162327,Cascaded,2027,808479.0,1162327
D0,sys/DC/9E,CRJ-700,4.0,sys,DC,9E,CRJ-700,,,68.15,25516,37440,71.56,5.00%,0.14675163338547897,26791.8,37440,Cascaded,2027,26791.8,37440
D0,sys/DC/9E,CRJ-900,4.0,sys,DC,9E,CRJ-900,,,68.22,148356,217464,71.63,5.00%,0.8532483666145211,155773.8,217464,Cascaded,2027,155773.80000000002,217464
D0,sys/DC/OO,CRJ-700,4.0,sys,DC,OO,CRJ-700,,,65.28,4558,6982,68.55,5.00%,0.02250375227111146,4785.9,6982,Cascaded,2027,4785.900000000001,6982
D0,sys/DC/OO,CRJ-900,4.0,sys,DC,OO,CRJ-900,,,70.95,64943,91538,74.49,5.00%,0.32063650367327595,68190.15,91538,Cascaded,2027,68190.15000000001,91538
D0,sys/DC/OO,E-175,4.0,sys,DC,OO,E-175,,,79.95,122337,153011,83.95,5.00%,0.6040020933723043,128453.85,153011,Cascaded,2027,128453.85,153011
D0,sys/DC/OO,E170/75,4.0,sys,DC,OO,E170/75,,,75.08,10706,14260,78.83,5.00%,0.05285765068330832,11241.3,14260,Cascaded,2027,11241.300000000001,14260
D0,sys/DC/YX,E-170,4.0,sys,DC,YX,E-170,,,72.16,14727,20408,75.77,5.00%,0.2087041550932487,15463.35,20408,Cascaded,2027,15463.349999999999,20408
D0,sys/DC/YX,E-175,4.0,sys,DC,YX,E-175,,,71.02,55837,78620,74.57,5.00%,0.7912958449067513,58628.85,78620,Cascaded,2027,58628.85,78620
D0,sys/DL/DL,220,4.0,sys,DL,DL,220,,,66.32,62914,94861,69.64,5.00%,0.08170861580820281,66059.7,94861,Cascaded,2027,66059.7,94861
D0,sys/DL/DL,319,4.0,sys,DL,DL,319,,,72.59,54747,75417,76.22,5.00%,0.07110184680121562,57484.35,75417,Cascaded,2027,57484.35,75417
D0,sys/DL/DL,320,4.0,sys,DL,DL,320,,,65.97,44993,68205,69.27,5.00%,0.05843398529831944,47242.65,68205,Cascaded,2027,47242.65,68205
D0,sys/DL/DL,321,4.0,sys,DL,DL,321,,,61.98,162108,261537,65.08,5.00%,0.21053533858022286,170213.4,261537,Cascaded,2027,170213.4,261537
D0,sys/DL/DL,332,4.0,sys,DL,DL,332,,,63.99,4039,6312,67.19,5.00%,0.005245590794566092,4240.95,6312,Cascaded,2027,4240.95,6312
D0,sys/DL/DL,333,4.0,sys,DL,DL,333,,,52.6,9144,17385,55.23,5.00%,0.011875633133328138,9601.2,17385,Cascaded,2027,9601.2,17385
D0,sys/DL/DL,339,4.0,sys,DL,DL,339,,,57.88,12338,21316,60.78,5.00%,0.016023792825787683,12954.9,21316,Cascaded,2027,12954.9,21316
D0,sys/DL/DL,359,4.0,sys,DL,DL,359,,,52.13,3779,7249,54.74,5.00%,0.004907919686225616,3967.95,7249,Cascaded,2027,3967.95,7249
D0,sys/DL/DL,35H,4.0,sys,DL,DL,35H,,,54.16,2807,5183,56.87,5.00%,0.003645549235045066,2947.35,5183,Cascaded,2027,2947.35,5183
D0,sys/DL/DL,35J,4.0,sys,DL,DL,35J,,,55.68,1695,3044,58.47,5.00%,0.00220135587937349,1779.75,3044,Cascaded,2027,1779.75,3044
