KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
PAX_BRD_PCTL100,PAX_BRD_PCTL100,,Root,0,1,Goal,Root,PAX_BRD_PCTL100,1,No
PAX_BRD_PCTL100,ACS,PAX_BRD_PCTL100,div,1,100.0,Goal,Root/div,PAX_BRD_PCTL100/ACS,1,No
PAX_BRD_PCTL100,ML,ACS,carrier,2,100.0,Goal,Root/div/carrier,PAX_BRD_PCTL100/ACS/ML,318,No
PAX_BRD_PCTL100,APAC_Director,ML,director,3,0.45,Goal,Root/div/carrier/director,PAX_BRD_PCTL100/ACS/ML/APAC_Director,1,No
PAX_BRD_PCTL100,I,APAC_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,PAX_BRD_PCTL100/ACS/ML/APAC_Director/I,0,Yes
PAX_BRD_PCTL100,AUS_Director,ML,director,3,0.15,Goal,Root/div/carrier/director,PAX_BRD_PCTL100/ACS/ML/AUS_Director,1,No
PAX_BRD_PCTL100,D,AUS_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,PAX_BRD_PCTL100/ACS/ML/AUS_Director/D,0,Yes
PAX_BRD_PCTL100,CANMEX_Director,ML,director,3,0.46,Goal,Root/div/carrier/director,PAX_BRD_PCTL100/ACS/ML/CANMEX_Director,1,No
PAX_BRD_PCTL100,I,CANMEX_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,PAX_BRD_PCTL100/ACS/ML/CANMEX_Director/I,0,Yes
PAX_BRD_PCTL100,Caribbean_Director,ML,director,3,0.1,Goal,Root/div/carrier/director,PAX_BRD_PCTL100/ACS/ML/Caribbean_Director,1,No
PAX_BRD_PCTL100,I,Caribbean_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,PAX_BRD_PCTL100/ACS/ML/Caribbean_Director/I,0,Yes
PAX_BRD_PCTL100,CASA_Director,ML,director,3,0.03,Goal,Root/div/carrier/director,PAX_BRD_PCTL100/ACS/ML/CASA_Director,1,No
PAX_BRD_PCTL100,I,CASA_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,PAX_BRD_PCTL100/ACS/ML/CASA_Director/I,0,Yes
PAX_BRD_PCTL100,CDG_Director,ML,director,3,0.33,Goal,Root/div/carrier/director,PAX_BRD_PCTL100/ACS/ML/CDG_Director,1,No
PAX_BRD_PCTL100,I,CDG_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,PAX_BRD_PCTL100/ACS/ML/CDG_Director/I,0,Yes
PAX_BRD_PCTL100,Central_Director,ML,director,3,0.58,Goal,Root/div/carrier/director,PAX_BRD_PCTL100/ACS/ML/Central_Director,1,No
PAX_BRD_PCTL100,D,Central_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,PAX_BRD_PCTL100/ACS/ML/Central_Director/D,0,Yes
PAX_BRD_PCTL100,East_Director,ML,director,3,0.49,Goal,Root/div/carrier/director,PAX_BRD_PCTL100/ACS/ML/East_Director,1,No
PAX_BRD_PCTL100,D,East_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,PAX_BRD_PCTL100/ACS/ML/East_Director/D,0,Yes
PAX_BRD_PCTL100,EMEA-A,ML,director,3,0.26,Goal,Root/div/carrier/director,PAX_BRD_PCTL100/ACS/ML/EMEA-A,1,No
PAX_BRD_PCTL100,I,EMEA-A,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,PAX_BRD_PCTL100/ACS/ML/EMEA-A/I,0,Yes
PAX_BRD_PCTL100,EMEA-B,ML,director,3,0.04,Goal,Root/div/carrier/director,PAX_BRD_PCTL100/ACS/ML/EMEA-B,1,No
PAX_BRD_PCTL100,I,EMEA-B,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,PAX_BRD_PCTL100/ACS/ML/EMEA-B/I,0,Yes
