KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
PAX_BRD_PCTL_0,PAX_BRD_PCTL_0,,Root,0,1,Goal,Root,PAX_BRD_PCTL_0,2,No
PAX_BRD_PCTL_0,ACS,PAX_BRD_PCTL_0,div,1,56.48,Goal,Root/div,PAX_BRD_PCTL_0/ACS,1,No
PAX_BRD_PCTL_0,ML,ACS,carrier,2,100.0,Goal,Root/div/carrier,PAX_BRD_PCTL_0/ACS/ML,318,No
PAX_BRD_PCTL_0,APAC_Director,ML,director,3,0.6,Goal,Root/div/carrier/director,PAX_BRD_PCTL_0/ACS/ML/APAC_Director,1,No
PAX_BRD_PCTL_0,I,APAC_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,PAX_BRD_PCTL_0/ACS/ML/APAC_Director/I,0,Yes
PAX_BRD_PCTL_0,AUS_Director,ML,director,3,0.57,Goal,Root/div/carrier/director,PAX_BRD_PCTL_0/ACS/ML/AUS_Director,1,No
PAX_BRD_PCTL_0,D,AUS_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,PAX_BRD_PCTL_0/ACS/ML/AUS_Director/D,0,Yes
PAX_BRD_PCTL_0,CANMEX_Director,ML,director,3,0.0,Goal,Root/div/carrier/director,PAX_BRD_PCTL_0/ACS/ML/CANMEX_Director,1,No
PAX_BRD_PCTL_0,I,CANMEX_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,PAX_BRD_PCTL_0/ACS/ML/CANMEX_Director/I,0,Yes
PAX_BRD_PCTL_0,Caribbean_Director,ML,director,3,0.52,Goal,Root/div/carrier/director,PAX_BRD_PCTL_0/ACS/ML/Caribbean_Director,1,No
PAX_BRD_PCTL_0,I,Caribbean_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,PAX_BRD_PCTL_0/ACS/ML/Caribbean_Director/I,0,Yes
PAX_BRD_PCTL_0,CASA_Director,ML,director,3,0.1,Goal,Root/div/carrier/director,PAX_BRD_PCTL_0/ACS/ML/CASA_Director,1,No
PAX_BRD_PCTL_0,I,CASA_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,PAX_BRD_PCTL_0/ACS/ML/CASA_Director/I,0,Yes
PAX_BRD_PCTL_0,CDG_Director,ML,director,3,0.08,Goal,Root/div/carrier/director,PAX_BRD_PCTL_0/ACS/ML/CDG_Director,1,No
PAX_BRD_PCTL_0,I,CDG_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,PAX_BRD_PCTL_0/ACS/ML/CDG_Director/I,0,Yes
PAX_BRD_PCTL_0,Central_Director,ML,director,3,0.27,Goal,Root/div/carrier/director,PAX_BRD_PCTL_0/ACS/ML/Central_Director,1,No
PAX_BRD_PCTL_0,D,Central_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,PAX_BRD_PCTL_0/ACS/ML/Central_Director/D,0,Yes
PAX_BRD_PCTL_0,East_Director,ML,director,3,0.29,Goal,Root/div/carrier/director,PAX_BRD_PCTL_0/ACS/ML/East_Director,1,No
PAX_BRD_PCTL_0,D,East_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,PAX_BRD_PCTL_0/ACS/ML/East_Director/D,0,Yes
PAX_BRD_PCTL_0,EMEA-A,ML,director,3,0.09,Goal,Root/div/carrier/director,PAX_BRD_PCTL_0/ACS/ML/EMEA-A,1,No
PAX_BRD_PCTL_0,I,EMEA-A,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,PAX_BRD_PCTL_0/ACS/ML/EMEA-A/I,0,Yes
PAX_BRD_PCTL_0,EMEA-B,ML,director,3,0.49,Goal,Root/div/carrier/director,PAX_BRD_PCTL_0/ACS/ML/EMEA-B,1,No
PAX_BRD_PCTL_0,I,EMEA-B,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,PAX_BRD_PCTL_0/ACS/ML/EMEA-B/I,0,Yes
PAX_BRD_PCTL_0,FieldStations_Director,ML,director,3,0.23,Goal,Root/div/carrier/director,PAX_BRD_PCTL_0/ACS/ML/FieldStations_Director,1,No
PAX_BRD_PCTL_0,D,FieldStations_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,PAX_BRD_PCTL_0/ACS/ML/FieldStations_Director/D,0,Yes
PAX_BRD_PCTL_0,Florida_Director,ML,director,3,0.17,Goal,Root/div/carrier/director,PAX_BRD_PCTL_0/ACS/ML/Florida_Director,1,No
PAX_BRD_PCTL_0,D,Florida_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,PAX_BRD_PCTL_0/ACS/ML/Florida_Director/D,0,Yes
PAX_BRD_PCTL_0,Hub_ATL,ML,director,3,0.4,Goal,Root/div/carrier/director,PAX_BRD_PCTL_0/ACS/ML/Hub_ATL,1,No
PAX_BRD_PCTL_0,D,Hub_ATL,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,PAX_BRD_PCTL_0/ACS/ML/Hub_ATL/D,0,Yes
PAX_BRD_PCTL_0,Hub_BOS,ML,director,3,0.5,Goal,Root/div/carrier/director,PAX_BRD_PCTL_0/ACS/ML/Hub_BOS,1,No
PAX_BRD_PCTL_0,D,Hub_BOS,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,PAX_BRD_PCTL_0/ACS/ML/Hub_BOS/D,0,Yes
PAX_BRD_PCTL_0,Hub_DTW,ML,director,3,0.5,Goal,Root/div/carrier/director,PAX_BRD_PCTL_0/ACS/ML/Hub_DTW,1,No
PAX_BRD_PCTL_0,D,Hub_DTW,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,PAX_BRD_PCTL_0/ACS/ML/Hub_DTW/D,0,Yes
PAX_BRD_PCTL_0,Hub_JFK,ML,director,3,0.09,Goal,Root/div/carrier/director,PAX_BRD_PCTL_0/ACS/ML/Hub_JFK,1,No
PAX_BRD_PCTL_0,D,Hub_JFK,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,PAX_BRD_PCTL_0/ACS/ML/Hub_JFK/D,0,Yes
PAX_BRD_PCTL_0,Hub_LAX,ML,director,3,0.21,Goal,Root/div/carrier/director,PAX_BRD_PCTL_0/ACS/ML/Hub_LAX,1,No
PAX_BRD_PCTL_0,D,Hub_LAX,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,PAX_BRD_PCTL_0/ACS/ML/Hub_LAX/D,0,Yes
PAX_BRD_PCTL_0,Hub_LGA,ML,director,3,0.09,Goal,Root/div/carrier/director,PAX_BRD_PCTL_0/ACS/ML/Hub_LGA,1,No
PAX_BRD_PCTL_0,D,Hub_LGA,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,PAX_BRD_PCTL_0/ACS/ML/Hub_LGA/D,0,Yes
PAX_BRD_PCTL_0,Hub_MSP,ML,director,3,0.59,Goal,Root/div/carrier/director,PAX_BRD_PCTL_0/ACS/ML/Hub_MSP,1,No
PAX_BRD_PCTL_0,D,Hub_MSP,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,PAX_BRD_PCTL_0/ACS/ML/Hub_MSP/D,0,Yes
PAX_BRD_PCTL_0,Hub_SEA,ML,director,3,0.14,Goal,Root/div/carrier/director,PAX_BRD_PCTL_0/ACS/ML/Hub_SEA,1,No
PAX_BRD_PCTL_0,D,Hub_SEA,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,PAX_BRD_PCTL_0/ACS/ML/Hub_SEA/D,0,Yes
PAX_BRD_PCTL_0,Hub_SLC,ML,director,3,0.08,Goal,Root/div/carrier/director,PAX_BRD_PCTL_0/ACS/ML/Hub_SLC,1,No
PAX_BRD_PCTL_0,D,Hub_SLC,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,PAX_BRD_PCTL_0/ACS/ML/Hub_SLC/D,0,Yes
PAX_BRD_PCTL_0,West_Director,ML,director,3,0.28,Goal,Root/div/carrier/director,PAX_BRD_PCTL_0/ACS/ML/West_Director,1,No
PAX_BRD_PCTL_0,D,West_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,PAX_BRD_PCTL_0/ACS/ML/West_Director/D,0,Yes
PAX_BRD_PCTL_0,ACSATL,ML,division,3,0.05,Goal,Root/div/carrier/division,PAX_BRD_PCTL_0/ACS/ML/ACSATL,1,No
PAX_BRD_PCTL_0,D,ACSATL,dom_int,4,100.0,Goal,Root/div/carrier/division/dom_int,PAX_BRD_PCTL_0/ACS/ML/ACSATL/D,0,Yes
PAX_BRD_PCTL_0,DTW_AUS_FL,ML,division,3,0.32,Goal,Root/div/carrier/division,PAX_BRD_PCTL_0/ACS/ML/DTW_AUS_FL,1,No
PAX_BRD_PCTL_0,D,DTW_AUS_FL,dom_int,4,100.0,Goal,Root/div/carrier/division/dom_int,PAX_BRD_PCTL_0/ACS/ML/DTW_AUS_FL/D,0,Yes
PAX_BRD_PCTL_0,East,ML,division,3,0.59,Goal,Root/div/carrier/division,PAX_BRD_PCTL_0/ACS/ML/East,1,No
PAX_BRD_PCTL_0,D,East,dom_int,4,100.0,Goal,Root/div/carrier/division/dom_int,PAX_BRD_PCTL_0/ACS/ML/East/D,0,Yes
PAX_BRD_PCTL_0,FieldStations,ML,division,3,0.09,Goal,Root/div/carrier/division,PAX_BRD_PCTL_0/ACS/ML/FieldStations,1,No
PAX_BRD_PCTL_0,D,FieldStations,dom_int,4,100.0,Goal,Root/div/carrier/division/dom_int,PAX_BRD_PCTL_0/ACS/ML/FieldStations/D,0,Yes
PAX_BRD_PCTL_0,International,ML,division,3,0.15,Goal,Root/div/carrier/division,PAX_BRD_PCTL_0/ACS/ML/International,1,No
PAX_BRD_PCTL_0,I,International,dom_int,4,100.0,Goal,Root/div/carrier/division/dom_int,PAX_BRD_PCTL_0/ACS/ML/International/I,0,Yes
PAX_BRD_PCTL_0,JFK_BOS,ML,division,3,0.53,Goal,Root/div/carrier/division,PAX_BRD_PCTL_0/ACS/ML/JFK_BOS,1,No
PAX_BRD_PCTL_0,D,JFK_BOS,dom_int,4,100.0,Goal,Root/div/carrier/division/dom_int,PAX_BRD_PCTL_0/ACS/ML/JFK_BOS/D,0,Yes
PAX_BRD_PCTL_0,MSP_SEA_SLC,ML,division,3,0.12,Goal,Root/div/carrier/division,PAX_BRD_PCTL_0/ACS/ML/MSP_SEA_SLC,1,No
PAX_BRD_PCTL_0,D,MSP_SEA_SLC,dom_int,4,100.0,Goal,Root/div/carrier/division/dom_int,PAX_BRD_PCTL_0/ACS/ML/MSP_SEA_SLC/D,0,Yes
PAX_BRD_PCTL_0,West_Central,ML,division,3,0.01,Goal,Root/div/carrier/division,PAX_BRD_PCTL_0/ACS/ML/West_Central,1,No
PAX_BRD_PCTL_0,D,West_Central,dom_int,4,100.0,Goal,Root/div/carrier/division/dom_int,PAX_BRD_PCTL_0/ACS/ML/West_Central/D,0,Yes
PAX_BRD_PCTL_0,D,ML,dom_int,3,0.34,Goal,Root/div/carrier/dom_int,PAX_BRD_PCTL_0/ACS/ML/D,0,Yes
PAX_BRD_PCTL_0,I,ML,dom_int,3,0.33,Goal,Root/div/carrier/dom_int,PAX_BRD_PCTL_0/ACS/ML/I,0,Yes
PAX_BRD_PCTL_0,AUS_Region,ML,region,3,0.39,Goal,Root/div/carrier/region,PAX_BRD_PCTL_0/ACS/ML/AUS_Region,1,No
PAX_BRD_PCTL_0,D,AUS_Region,dom_int,4,100.0,Goal,Root/div/carrier/region/dom_int,PAX_BRD_PCTL_0/ACS/ML/AUS_Region/D,0,Yes
PAX_BRD_PCTL_0,Canada_Region,ML,region,3,0.31,Goal,Root/div/carrier/region,PAX_BRD_PCTL_0/ACS/ML/Canada_Region,1,No
PAX_BRD_PCTL_0,I,Canada_Region,dom_int,4,100.0,Goal,Root/div/carrier/region/dom_int,PAX_BRD_PCTL_0/ACS/ML/Canada_Region/I,0,Yes
PAX_BRD_PCTL_0,Caribbean_Region,ML,region,3,0.02,Goal,Root/div/carrier/region,PAX_BRD_PCTL_0/ACS/ML/Caribbean_Region,1,No
PAX_BRD_PCTL_0,I,Caribbean_Region,dom_int,4,100.0,Goal,Root/div/carrier/region/dom_int,PAX_BRD_PCTL_0/ACS/ML/Caribbean_Region/I,0,Yes
PAX_BRD_PCTL_0,CDG_Region,ML,region,3,0.52,Goal,Root/div/carrier/region,PAX_BRD_PCTL_0/ACS/ML/CDG_Region,1,No
PAX_BRD_PCTL_0,I,CDG_Region,dom_int,4,100.0,Goal,Root/div/carrier/region/dom_int,PAX_BRD_PCTL_0/ACS/ML/CDG_Region/I,0,Yes
PAX_BRD_PCTL_0,CentralAmerica_Region,ML,region,3,0.29,Goal,Root/div/carrier/region,PAX_BRD_PCTL_0/ACS/ML/CentralAmerica_Region,1,No
PAX_BRD_PCTL_0,I,CentralAmerica_Region,dom_int,4,100.0,Goal,Root/div/carrier/region/dom_int,PAX_BRD_PCTL_0/ACS/ML/CentralAmerica_Region/I,0,Yes
PAX_BRD_PCTL_0,Central_Region,ML,region,3,0.54,Goal,Root/div/carrier/region,PAX_BRD_PCTL_0/ACS/ML/Central_Region,1,No
PAX_BRD_PCTL_0,D,Central_Region,dom_int,4,100.0,Goal,Root/div/carrier/region/dom_int,PAX_BRD_PCTL_0/ACS/ML/Central_Region/D,0,Yes
PAX_BRD_PCTL_0,EastAsia_Region,ML,region,3,0.28,Goal,Root/div/carrier/region,PAX_BRD_PCTL_0/ACS/ML/EastAsia_Region,1,No
PAX_BRD_PCTL_0,I,EastAsia_Region,dom_int,4,100.0,Goal,Root/div/carrier/region/dom_int,PAX_BRD_PCTL_0/ACS/ML/EastAsia_Region/I,0,Yes
PAX_BRD_PCTL_0,Florida_Region,ML,region,3,0.04,Goal,Root/div/carrier/region,PAX_BRD_PCTL_0/ACS/ML/Florida_Region,1,No
PAX_BRD_PCTL_0,D,Florida_Region,dom_int,4,100.0,Goal,Root/div/carrier/region/dom_int,PAX_BRD_PCTL_0/ACS/ML/Florida_Region/D,0,Yes
PAX_BRD_PCTL_0,FS_Central,ML,region,3,0.52,Goal,Root/div/carrier/region,PAX_BRD_PCTL_0/ACS/ML/FS_Central,1,No
PAX_BRD_PCTL_0,D,FS_Central,dom_int,4,100.0,Goal,Root/div/carrier/region/dom_int,PAX_BRD_PCTL_0/ACS/ML/FS_Central/D,0,Yes
PAX_BRD_PCTL_0,FS_East,ML,region,3,0.3,Goal,Root/div/carrier/region,PAX_BRD_PCTL_0/ACS/ML/FS_East,1,No
