KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
PAX_DOOR_CLOSE,PAX_DOOR_CLOSE,,Root,0,1,Goal,Root,PAX_DOOR_CLOSE,1,No
PAX_DOOR_CLOSE,ACS,PAX_DOOR_CLOSE,div,1,100.0,Goal,Root/div,PAX_DOOR_CLOSE/ACS,1,No
PAX_DOOR_CLOSE,ML,ACS,carrier,2,100.0,Goal,Root/div/carrier,PAX_DOOR_CLOSE/ACS/ML,318,No
PAX_DOOR_CLOSE,APAC_Director,ML,director,3,0.12,Goal,Root/div/carrier/director,PAX_DOOR_CLOSE/ACS/ML/APAC_Director,1,No
PAX_DOOR_CLOSE,I,APAC_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,PAX_DOOR_CLOSE/ACS/ML/APAC_Director/I,0,Yes
PAX_DOOR_CLOSE,AUS_Director,ML,director,3,0.59,Goal,Root/div/carrier/director,PAX_DOOR_CLOSE/ACS/ML/AUS_Director,1,No
PAX_DOOR_CLOSE,D,AUS_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,PAX_DOOR_CLOSE/ACS/ML/AUS_Director/D,0,Yes
PAX_DOOR_CLOSE,CANMEX_Director,ML,director,3,0.27,Goal,Root/div/carrier/director,PAX_DOOR_CLOSE/ACS/ML/CANMEX_Director,1,No
PAX_DOOR_CLOSE,I,CANMEX_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,PAX_DOOR_CLOSE/ACS/ML/CANMEX_Director/I,0,Yes
PAX_DOOR_CLOSE,Caribbean_Director,ML,director,3,0.32,Goal,Root/div/carrier/director,PAX_DOOR_CLOSE/ACS/ML/Caribbean_Director,1,No
PAX_DOOR_CLOSE,I,Caribbean_Director,dom_int,4,100.0,Goal,Root/div/carrier/director/dom_int,PAX_DOOR_CLOSE/ACS/ML/Caribbean_Director/I,0,Yes
