KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
PFB_NSAT_SYS,PFB_NSAT_SYS,,Root,0,1,Goal,Root,PFB_NSAT_SYS,1,No
PFB_NSAT_SYS,ML,PFB_NSAT_SYS,carrier,1,100.0,Goal,Root/carrier,PFB_NSAT_SYS/ML,3,No
PFB_NSAT_SYS,D,ML,dom_int,2,58.21,Goal,Root/carrier/dom_int,PFB_NSAT_SYS/ML/D,1,No
PFB_NSAT_SYS,FC,D,cabin,3,100.0,Goal,Root/carrier/dom_int/cabin,PFB_NSAT_SYS/ML/D/FC,2,No
PFB_NSAT_SYS,Bev,FC,variant,4,39.07,Goal,Root/carrier/dom_int/cabin/variant,PFB_NSAT_SYS/ML/D/FC/Bev,0,Yes
PFB_NSAT_SYS,Meal,FC,variant,4,60.93,Goal,Root/carrier/dom_int/cabin/variant,PFB_NSAT_SYS/ML/D/FC/Meal,0,Yes
PFB_NSAT_SYS,TATL,ML,entity,2,11.37,Goal,Root/carrier/entity,PFB_NSAT_SYS/ML/TATL,1,No
PFB_NSAT_SYS,D1,TATL,cabin,3,100.0,Goal,Root/carrier/entity/cabin,PFB_NSAT_SYS/ML/TATL/D1,0,Yes
PFB_NSAT_SYS,TPAC,ML,entity,2,30.42,Goal,Root/carrier/entity,PFB_NSAT_SYS/ML/TPAC,1,No
PFB_NSAT_SYS,D1,TPAC,cabin,3,100.0,Goal,Root/carrier/entity/cabin,PFB_NSAT_SYS/ML/TPAC/D1,0,Yes
