KPI_Name,parent,node,Tier,sys,ml_dc_1,ml_dc_2,fleet,station,vendor,Baseline,Baseline_Num,Baseline_Den,Goal,Stretch,Contribution,Goal_Num,Goal_Den,Source,Goal_Yr,YTD_Num,YTD_Den
D0,,sys,1.0,,,,,,,68.29,1216960,1782050,71.7,5.00%,1.0,1277808.0,1782050,Goal Input,2027,1277808.0,1782050
D0,,DC,2.0,,DC,,,,,72.13,446980,619723,75.73,5.00%,0.36729226926110964,469329.0,619723,Goal Input,2027,469329.0,619723
D0,,DL,2.0,,DL,,,,,66.24,769980,1162327,69.56,5.00%,0.6327077307388903,808479.0,1162327,Goal Input,2027,808479.0,1162327
D0,DC,9E,3.0,,DC,9E,,,,68.21,173872,254904,71.62,5.00%,0.38899279609825943,182565.6,254904,Cascaded,2027,182565.6,254904
D0,DC,OO,3.0,,DC,OO,,,,76.2,202544,265791,80.01,5.00%,0.4531388429012484,212671.2,265791,Cascaded,2027,212671.2,265791
D0,DC,YX,3.0,,DC,YX,,,,71.26,70564,99028,74.82,5.00%,0.1578683610004922,74092.2,99028,Cascaded,2027,74092.2,99028
D0,DL,DL,3.0,,DL,DL,,,,66.24,769980,1162327,69.56,5.00%,1.0,808479.0,1162327,Cascaded,2027,808479.0,1162327
D0,DC/9E,CRJ-700,4.1,,DC,9E,CRJ-700,,,68.15,25516,37440,71.56,5.00%,0.14675163338547897,26791.8,37440,Cascaded,2027,26791.8,37440
D0,DC/9E,CRJ-900,4.1,,DC,9E,CRJ-900,,,68.22,148356,217464,71.63,5.00%,0.8532483666145211,155773.8,217464,Cascaded,2027,155773.80000000002,217464
D0,DC/OO,CRJ-700,4.1,,DC,OO,CRJ-700,,,65.28,4558,6982,68.55,5.00%,0.02250375227111146,4785.9,6982,Cascaded,2027,4785.900000000001,6982
D0,DC/OO,CRJ-900,4.1,,DC,OO,CRJ-900,,,70.95,64943,91538,74.49,5.00%,0.32063650367327595,68190.15,91538,Cascaded,2027,68190.15000000001,91538
D0,DC/OO,E-175,4.1,,DC,OO,E-175,,,79.95,122337,153011,83.95,5.00%,0.6040020933723043,128453.85,153011,Cascaded,2027,128453.85,153011
D0,DC/OO,E170/75,4.1,,DC,OO,E170/75,,,75.08,10706,14260,78.83,5.00%,0.05285765068330832,11241.3,14260,Cascaded,2027,11241.300000000001,14260
D0,DC/YX,E-170,4.1,,DC,YX,E-170,,,72.16,14727,20408,75.77,5.00%,0.2087041550932487,15463.35,20408,Cascaded,2027,15463.349999999999,20408
D0,DC/YX,E-175,4.1,,DC,YX,E-175,,,71.02,55837,78620,74.57,5.00%,0.7912958449067513,58628.85,78620,Cascaded,2027,58628.85,78620
D0,DL/DL,220,4.1,,DL,DL,220,,,66.32,62914,94861,69.64,5.00%,0.08170861580820281,66059.7,94861,Cascaded,2027,66059.7,94861
D0,DL/DL,319,4.1,,DL,DL,319,,,72.59,54747,75417,76.22,5.00%,0.07110184680121562,57484.35,75417,Cascaded,2027,57484.35,75417
D0,DL/DL,320,4.1,,DL,DL,320,,,65.97,44993,68205,69.27,5.00%,0.05843398529831944,47242.65,68205,Cascaded,2027,47242.65,68205
D0,DL/DL,321,4.1,,DL,DL,321,,,61.98,162108,261537,65.08,5.00%,0.21053533858022286,170213.4,261537,Cascaded,2027,170213.4,261537
D0,DL/DL,332,4.1,,DL,DL,332,,,63.99,4039,6312,67.19,5.00%,0.005245590794566092,4240.95,6312,Cascaded,2027,4240.95,6312
D0,DL/DL,333,4.1,,DL,DL,333,,,52.6,9144,17385,55.23,5.00%,0.011875633133328138,9601.2,17385,Cascaded,2027,9601.2,17385
D0,DL/DL,339,4.1,,DL,DL,339,,,57.88,12338,21316,60.78,5.00%,0.016023792825787683,12954.9,21316,Cascaded,2027,12954.9,21316
D0,DL/DL,359,4.1,,DL,DL,359,,,52.13,3779,7249,54.74,5.00%,0.004907919686225616,3967.95,7249,Cascaded,2027,3967.95,7249
D0,DL/DL,35H,4.1,,DL,DL,35H,,,54.16,2807,5183,56.87,5.00%,0.003645549235045066,2947.35,5183,Cascaded,2027,2947.35,5183
D0,DL/DL,35J,4.1,,DL,DL,35J,,,55.68,1695,3044,58.47,5.00%,0.00220135587937349,1779.75,3044,Cascaded,2027,1779.75,3044
D0,DL/DL,35L,4.1,,DL,DL,35L,,,20.95,141,673,22.0,5.00%,0.0001831216395231045,148.05,673,Cascaded,2027,148.05,673
D0,DL/DL,717,4.1,,DL,DL,717,,,70.65,101145,143168,74.18,5.00%,0.1313605548196057,106202.25,143168,Cascaded,2027,106202.25,143168
D0,DL/DL,738,4.1,,DL,DL,738,,,67.96,68280,100467,71.36,5.00%,0.08867762799033742,71694.0,100467,Cascaded,2027,71694.0,100467
D0,DL/DL,739,4.1,,DL,DL,739,,,72.3,161039,222749,75.91,5.00%,0.20914699083093066,169090.95,222749,Cascaded,2027,169090.95,222749
D0,DL/DL,757,4.1,,DL,DL,757,,,58.79,57240,97360,61.73,5.00%,0.07433959323618795,60102.0,97360,Cascaded,2027,60102.0,97360
D0,DL/DL,763,4.1,,DL,DL,763,,,64.75,16451,25405,67.99,5.00%,0.021365490012727605,17273.55,25405,Cascaded,2027,17273.55,25405
D0,DL/DL,764,4.1,,DL,DL,764,,,59.35,7120,11996,62.32,5.00%,0.009246993428400737,7476.0,11996,Cascaded,2027,7476.0,11996
D0,DC/9E,ABE,4.2,,DC,9E,,ABE,,67.44,698,1035,70.81,5.00%,0.004014447409588663,732.9,1035,Cascaded,2027,732.9,1035
D0,DC/9E,ABY,4.2,,DC,9E,,ABY,,76.24,414,543,80.06,5.00%,0.002381061930615625,434.7,543,Cascaded,2027,434.7,543
D0,DC/9E,AEX,4.2,,DC,9E,,AEX,,74.14,751,1013,77.84,5.00%,0.004319269347566025,788.55,1013,Cascaded,2027,788.5500000000001,1013
D0,DC/9E,AGS,4.2,,DC,9E,,AGS,,69.74,1270,1821,73.23,5.00%,0.007304223796816048,1333.5,1821,Cascaded,2027,1333.5,1821
D0,DC/9E,ALB,4.2,,DC,9E,,ALB,,78.87,627,795,82.81,5.00%,0.0036061010398454035,658.35,795,Cascaded,2027,658.35,795
D0,DC/9E,ATL,4.2,,DC,9E,,ATL,,67.06,22163,33048,70.42,5.00%,0.12746733229042054,23271.15,33048,Cascaded,2027,23271.15,33048
D0,DC/9E,ATW,4.2,,DC,9E,,ATW,,68.18,30,44,71.59,5.00%,0.00017254071960982791,31.5,44,Cascaded,2027,31.5,44
D0,DC/9E,AUS,4.2,,DC,9E,,AUS,,69.19,732,1058,72.65,5.00%,0.004209993558479801,768.6,1058,Cascaded,2027,768.6,1058
D0,DC/9E,AVL,4.2,,DC,9E,,AVL,,64.94,650,1001,68.18,5.00%,0.003738382258212938,682.5,1001,Cascaded,2027,682.5,1001
D0,DC/9E,AZO,4.2,,DC,9E,,AZO,,59.46,22,37,62.43,5.00%,0.00012652986104720715,23.1,37,Cascaded,2027,23.1,37
D0,DC/9E,BGM,4.2,,DC,9E,,BGM,,23.08,3,13,24.23,5.00%,1.725407196098279e-05,3.15,13,Cascaded,2027,3.15,13
D0,DC/9E,BGR,4.2,,DC,9E,,BGR,,77.93,939,1205,81.82,5.00%,0.005400524523787614,985.95,1205,Cascaded,2027,985.95,1205
D0,DC/9E,BHM,4.2,,DC,9E,,BHM,,70.41,1028,1460,73.93,5.00%,0.00591239532529677,1079.4,1460,Cascaded,2027,1079.4,1460
D0,DC/9E,BIS,4.2,,DC,9E,,BIS,,72.44,510,704,76.07,5.00%,0.0029331922333670746,535.5,704,Cascaded,2027,535.5,704
D0,DC/9E,BMI,4.2,,DC,9E,,BMI,,74.39,488,656,78.11,5.00%,0.0028066623723198673,512.4,656,Cascaded,2027,512.4,656
D0,DC/9E,BNA,4.2,,DC,9E,,BNA,,67.86,1712,2523,71.25,5.00%,0.009846323732400847,1797.6,2523,Cascaded,2027,1797.6000000000001,2523
D0,DC/9E,BQK,4.2,,DC,9E,,BQK,,72.27,761,1053,75.88,5.00%,0.004376782920769301,799.05,1053,Cascaded,2027,799.0500000000001,1053
D0,DC/9E,BTR,4.2,,DC,9E,,BTR,,59.46,393,661,62.43,5.00%,0.002260283426888746,412.65,661,Cascaded,2027,412.65000000000003,661
D0,DC/9E,BTV,4.2,,DC,9E,,BTV,,76.86,1425,1854,80.7,5.00%,0.008195684181466826,1496.25,1854,Cascaded,2027,1496.25,1854
D0,DC/9E,BUF,4.2,,DC,9E,,BUF,,70.0,1547,2210,73.5,5.00%,0.008897349774546794,1624.35,2210,Cascaded,2027,1624.3500000000001,2210
D0,DC/9E,BWI,4.2,,DC,9E,,BWI,,100.0,2,2,105.0,5.00%,1.1502714640655195e-05,2.1,2,Cascaded,2027,2.1,2
D0,DC/9E,CAE,4.2,,DC,9E,,CAE,,68.54,876,1278,71.97,5.00%,0.005038189012606976,919.8,1278,Cascaded,2027,919.8000000000001,1278
