KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
SS_TO,SS_TO,,Root,0,1,Goal,Root,SS_TO,1,No
SS_TO,GCS,SS_TO,div,1,100.0,Goal,Root/div,SS_TO/GCS,56,No
SS_TO,ANC,GCS,station,2,2.44,Goal,Root/div/station,SS_TO/GCS/ANC,2,No
SS_TO,",null,",ANC,vendor,3,22.99,Goal,Root/div/station/vendor,"SS_TO/GCS/ANC/,null,",1,No
SS_TO,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"SS_TO/GCS/ANC/,null,/Cabin",0,Yes
SS_TO,Pegasus,ANC,vendor,3,77.01,Goal,Root/div/station/vendor,SS_TO/GCS/ANC/Pegasus,1,No
SS_TO,Cabin,Pegasus,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,SS_TO/GCS/ANC/Pegasus/Cabin,0,Yes
SS_TO,ATL,GCS,station,2,1.8,Goal,Root/div/station,SS_TO/GCS/ATL,2,No
SS_TO,",null,",ATL,vendor,3,99.97,Goal,Root/div/station/vendor,"SS_TO/GCS/ATL/,null,",1,No
SS_TO,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"SS_TO/GCS/ATL/,null,/Cabin",0,Yes
SS_TO,Delta,ATL,vendor,3,0.03,Goal,Root/div/station/vendor,SS_TO/GCS/ATL/Delta,1,No
SS_TO,Cabin,Delta,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,SS_TO/GCS/ATL/Delta/Cabin,0,Yes
SS_TO,AUS,GCS,station,2,0.28,Goal,Root/div/station,SS_TO/GCS/AUS,2,No
SS_TO,",null,",AUS,vendor,3,5.83,Goal,Root/div/station/vendor,"SS_TO/GCS/AUS/,null,",1,No
SS_TO,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"SS_TO/GCS/AUS/,null,/Cabin",0,Yes
SS_TO,Unifi,AUS,vendor,3,94.17,Goal,Root/div/station/vendor,SS_TO/GCS/AUS/Unifi,1,No
SS_TO,Cabin,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,SS_TO/GCS/AUS/Unifi/Cabin,0,Yes
SS_TO,BNA,GCS,station,2,2.86,Goal,Root/div/station,SS_TO/GCS/BNA,3,No
SS_TO,",null,",BNA,vendor,3,64.76,Goal,Root/div/station/vendor,"SS_TO/GCS/BNA/,null,",1,No
SS_TO,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"SS_TO/GCS/BNA/,null,/Cabin",0,Yes
SS_TO,Prospect,BNA,vendor,3,7.06,Goal,Root/div/station/vendor,SS_TO/GCS/BNA/Prospect,1,No
SS_TO,Cabin,Prospect,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,SS_TO/GCS/BNA/Prospect/Cabin,0,Yes
SS_TO,Unifi,BNA,vendor,3,28.180000000000003,Goal,Root/div/station/vendor,SS_TO/GCS/BNA/Unifi,1,No
SS_TO,Cabin,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,SS_TO/GCS/BNA/Unifi/Cabin,0,Yes
SS_TO,BOS,GCS,station,2,2.69,Goal,Root/div/station,SS_TO/GCS/BOS,4,No
SS_TO,",null,",BOS,vendor,3,13.04,Goal,Root/div/station/vendor,"SS_TO/GCS/BOS/,null,",1,No
SS_TO,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"SS_TO/GCS/BOS/,null,/Cabin",0,Yes
SS_TO,G2,BOS,vendor,3,37.94,Goal,Root/div/station/vendor,SS_TO/GCS/BOS/G2,1,No
SS_TO,Cabin,G2,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,SS_TO/GCS/BOS/G2/Cabin,0,Yes
SS_TO,HHS Aviation,BOS,vendor,3,11.48,Goal,Root/div/station/vendor,SS_TO/GCS/BOS/HHS Aviation,1,No
SS_TO,Cabin,HHS Aviation,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,SS_TO/GCS/BOS/HHS Aviation/Cabin,0,Yes
SS_TO,Menzies Aviation,BOS,vendor,3,37.54,Goal,Root/div/station/vendor,SS_TO/GCS/BOS/Menzies Aviation,1,No
SS_TO,Cabin,Menzies Aviation,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,SS_TO/GCS/BOS/Menzies Aviation/Cabin,0,Yes
SS_TO,BWI,GCS,station,2,2.43,Goal,Root/div/station,SS_TO/GCS/BWI,2,No
SS_TO,",null,",BWI,vendor,3,31.64,Goal,Root/div/station/vendor,"SS_TO/GCS/BWI/,null,",1,No
SS_TO,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"SS_TO/GCS/BWI/,null,/Cabin",0,Yes
SS_TO,HHS Aviation,BWI,vendor,3,68.36,Goal,Root/div/station/vendor,SS_TO/GCS/BWI/HHS Aviation,1,No
SS_TO,Cabin,HHS Aviation,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,SS_TO/GCS/BWI/HHS Aviation/Cabin,0,Yes
SS_TO,CMH,GCS,station,2,3.01,Goal,Root/div/station,SS_TO/GCS/CMH,3,No
SS_TO,",null,",CMH,vendor,3,16.9,Goal,Root/div/station/vendor,"SS_TO/GCS/CMH/,null,",1,No
SS_TO,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"SS_TO/GCS/CMH/,null,/Cabin",0,Yes
SS_TO,Prospect,CMH,vendor,3,51.44,Goal,Root/div/station/vendor,SS_TO/GCS/CMH/Prospect,1,No
SS_TO,Cabin,Prospect,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,SS_TO/GCS/CMH/Prospect/Cabin,0,Yes
SS_TO,Unifi,CMH,vendor,3,31.66,Goal,Root/div/station/vendor,SS_TO/GCS/CMH/Unifi,1,No
SS_TO,Cabin,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,SS_TO/GCS/CMH/Unifi/Cabin,0,Yes
SS_TO,CVG,GCS,station,2,0.41,Goal,Root/div/station,SS_TO/GCS/CVG,2,No
SS_TO,",null,",CVG,vendor,3,73.19,Goal,Root/div/station/vendor,"SS_TO/GCS/CVG/,null,",1,No
SS_TO,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"SS_TO/GCS/CVG/,null,/Cabin",0,Yes
SS_TO,Unifi,CVG,vendor,3,26.81,Goal,Root/div/station/vendor,SS_TO/GCS/CVG/Unifi,1,No
SS_TO,Cabin,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,SS_TO/GCS/CVG/Unifi/Cabin,0,Yes
SS_TO,DCA,GCS,station,2,0.69,Goal,Root/div/station,SS_TO/GCS/DCA,2,No
SS_TO,",null,",DCA,vendor,3,69.17,Goal,Root/div/station/vendor,"SS_TO/GCS/DCA/,null,",1,No
SS_TO,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"SS_TO/GCS/DCA/,null,/Cabin",0,Yes
SS_TO,Eulen,DCA,vendor,3,30.83,Goal,Root/div/station/vendor,SS_TO/GCS/DCA/Eulen,1,No
SS_TO,Cabin,Eulen,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,SS_TO/GCS/DCA/Eulen/Cabin,0,Yes
SS_TO,DEN,GCS,station,2,3.14,Goal,Root/div/station,SS_TO/GCS/DEN,2,No
SS_TO,",null,",DEN,vendor,3,44.22,Goal,Root/div/station/vendor,"SS_TO/GCS/DEN/,null,",1,No
SS_TO,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"SS_TO/GCS/DEN/,null,/Cabin",0,Yes
SS_TO,Unifi,DEN,vendor,3,55.78,Goal,Root/div/station/vendor,SS_TO/GCS/DEN/Unifi,1,No
SS_TO,Cabin,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,SS_TO/GCS/DEN/Unifi/Cabin,0,Yes
SS_TO,DFW,GCS,station,2,1.13,Goal,Root/div/station,SS_TO/GCS/DFW,2,No
SS_TO,",null,",DFW,vendor,3,38.6,Goal,Root/div/station/vendor,"SS_TO/GCS/DFW/,null,",1,No
SS_TO,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"SS_TO/GCS/DFW/,null,/Cabin",0,Yes
SS_TO,HHS Aviation,DFW,vendor,3,61.4,Goal,Root/div/station/vendor,SS_TO/GCS/DFW/HHS Aviation,1,No
SS_TO,Cabin,HHS Aviation,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,SS_TO/GCS/DFW/HHS Aviation/Cabin,0,Yes
SS_TO,DTW,GCS,station,2,1.1,Goal,Root/div/station,SS_TO/GCS/DTW,3,No
SS_TO,",null,",DTW,vendor,3,4.09,Goal,Root/div/station/vendor,"SS_TO/GCS/DTW/,null,",1,No
SS_TO,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"SS_TO/GCS/DTW/,null,/Cabin",0,Yes
SS_TO,G2,DTW,vendor,3,45.63,Goal,Root/div/station/vendor,SS_TO/GCS/DTW/G2,1,No
SS_TO,Cabin,G2,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,SS_TO/GCS/DTW/G2/Cabin,0,Yes
SS_TO,Menzies Aviation,DTW,vendor,3,50.28,Goal,Root/div/station/vendor,SS_TO/GCS/DTW/Menzies Aviation,1,No
SS_TO,Cabin,Menzies Aviation,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,SS_TO/GCS/DTW/Menzies Aviation/Cabin,0,Yes
SS_TO,EWR,GCS,station,2,0.91,Goal,Root/div/station,SS_TO/GCS/EWR,2,No
SS_TO,",null,",EWR,vendor,3,51.88,Goal,Root/div/station/vendor,"SS_TO/GCS/EWR/,null,",1,No
SS_TO,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"SS_TO/GCS/EWR/,null,/Cabin",0,Yes
SS_TO,Menzies Aviation,EWR,vendor,3,48.12,Goal,Root/div/station/vendor,SS_TO/GCS/EWR/Menzies Aviation,1,No
SS_TO,Cabin,Menzies Aviation,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,SS_TO/GCS/EWR/Menzies Aviation/Cabin,0,Yes
SS_TO,FLL,GCS,station,2,2.85,Goal,Root/div/station,SS_TO/GCS/FLL,2,No
SS_TO,",null,",FLL,vendor,3,26.67,Goal,Root/div/station/vendor,"SS_TO/GCS/FLL/,null,",1,No
SS_TO,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"SS_TO/GCS/FLL/,null,/Cabin",0,Yes
SS_TO,HHS Aviation,FLL,vendor,3,73.33,Goal,Root/div/station/vendor,SS_TO/GCS/FLL/HHS Aviation,1,No
SS_TO,Cabin,HHS Aviation,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,SS_TO/GCS/FLL/HHS Aviation/Cabin,0,Yes
SS_TO,GRB,GCS,station,2,1.85,Goal,Root/div/station,SS_TO/GCS/GRB,2,No
SS_TO,",null,",GRB,vendor,3,13.44,Goal,Root/div/station/vendor,"SS_TO/GCS/GRB/,null,",1,No
SS_TO,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"SS_TO/GCS/GRB/,null,/Cabin",0,Yes
SS_TO,Jet Air,GRB,vendor,3,86.56,Goal,Root/div/station/vendor,SS_TO/GCS/GRB/Jet Air,1,No
SS_TO,Cabin,Jet Air,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,SS_TO/GCS/GRB/Jet Air/Cabin,0,Yes
SS_TO,GRR,GCS,station,2,0.12,Goal,Root/div/station,SS_TO/GCS/GRR,3,No
SS_TO,",null,",GRR,vendor,3,14.05,Goal,Root/div/station/vendor,"SS_TO/GCS/GRR/,null,",1,No
SS_TO,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"SS_TO/GCS/GRR/,null,/Cabin",0,Yes
SS_TO,Prospect,GRR,vendor,3,25.06,Goal,Root/div/station/vendor,SS_TO/GCS/GRR/Prospect,1,No
SS_TO,Cabin,Prospect,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,SS_TO/GCS/GRR/Prospect/Cabin,0,Yes
SS_TO,Unifi,GRR,vendor,3,60.89,Goal,Root/div/station/vendor,SS_TO/GCS/GRR/Unifi,1,No
SS_TO,Cabin,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,SS_TO/GCS/GRR/Unifi/Cabin,0,Yes
SS_TO,HNL,GCS,station,2,3.52,Goal,Root/div/station,SS_TO/GCS/HNL,2,No
SS_TO,",null,",HNL,vendor,3,0.6,Goal,Root/div/station/vendor,"SS_TO/GCS/HNL/,null,",1,No
SS_TO,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"SS_TO/GCS/HNL/,null,/Cabin",0,Yes
SS_TO,Unifi,HNL,vendor,3,99.4,Goal,Root/div/station/vendor,SS_TO/GCS/HNL/Unifi,1,No
SS_TO,Cabin,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,SS_TO/GCS/HNL/Unifi/Cabin,0,Yes
SS_TO,IAD,GCS,station,2,1.53,Goal,Root/div/station,SS_TO/GCS/IAD,2,No
SS_TO,",null,",IAD,vendor,3,30.12,Goal,Root/div/station/vendor,"SS_TO/GCS/IAD/,null,",1,No
SS_TO,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"SS_TO/GCS/IAD/,null,/Cabin",0,Yes
SS_TO,Unifi,IAD,vendor,3,69.88,Goal,Root/div/station/vendor,SS_TO/GCS/IAD/Unifi,1,No
SS_TO,Cabin,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,SS_TO/GCS/IAD/Unifi/Cabin,0,Yes
SS_TO,IAH,GCS,station,2,1.17,Goal,Root/div/station,SS_TO/GCS/IAH,2,No
SS_TO,",null,",IAH,vendor,3,15.06,Goal,Root/div/station/vendor,"SS_TO/GCS/IAH/,null,",1,No
SS_TO,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"SS_TO/GCS/IAH/,null,/Cabin",0,Yes
SS_TO,Menzies Aviation,IAH,vendor,3,84.94,Goal,Root/div/station/vendor,SS_TO/GCS/IAH/Menzies Aviation,1,No
SS_TO,Cabin,Menzies Aviation,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,SS_TO/GCS/IAH/Menzies Aviation/Cabin,0,Yes
SS_TO,IND,GCS,station,2,2.26,Goal,Root/div/station,SS_TO/GCS/IND,2,No
SS_TO,",null,",IND,vendor,3,20.57,Goal,Root/div/station/vendor,"SS_TO/GCS/IND/,null,",1,No
SS_TO,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"SS_TO/GCS/IND/,null,/Cabin",0,Yes
SS_TO,Menzies Aviation,IND,vendor,3,79.43,Goal,Root/div/station/vendor,SS_TO/GCS/IND/Menzies Aviation,1,No
SS_TO,Cabin,Menzies Aviation,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,SS_TO/GCS/IND/Menzies Aviation/Cabin,0,Yes
SS_TO,JFK,GCS,station,2,3.54,Goal,Root/div/station,SS_TO/GCS/JFK,2,No
SS_TO,",null,",JFK,vendor,3,98.31,Goal,Root/div/station/vendor,"SS_TO/GCS/JFK/,null,",1,No
SS_TO,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"SS_TO/GCS/JFK/,null,/Cabin",0,Yes
SS_TO,Unifi,JFK,vendor,3,1.69,Goal,Root/div/station/vendor,SS_TO/GCS/JFK/Unifi,1,No
SS_TO,Cabin,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,SS_TO/GCS/JFK/Unifi/Cabin,0,Yes
SS_TO,LAS,GCS,station,2,2.31,Goal,Root/div/station,SS_TO/GCS/LAS,2,No
SS_TO,",null,",LAS,vendor,3,41.87,Goal,Root/div/station/vendor,"SS_TO/GCS/LAS/,null,",1,No
SS_TO,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"SS_TO/GCS/LAS/,null,/Cabin",0,Yes
SS_TO,Unifi,LAS,vendor,3,58.13,Goal,Root/div/station/vendor,SS_TO/GCS/LAS/Unifi,1,No
SS_TO,Cabin,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,SS_TO/GCS/LAS/Unifi/Cabin,0,Yes
SS_TO,LAX,GCS,station,2,2.77,Goal,Root/div/station,SS_TO/GCS/LAX,2,No
SS_TO,",null,",LAX,vendor,3,22.77,Goal,Root/div/station/vendor,"SS_TO/GCS/LAX/,null,",1,No
SS_TO,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"SS_TO/GCS/LAX/,null,/Cabin",0,Yes
SS_TO,Unifi,LAX,vendor,3,77.23,Goal,Root/div/station/vendor,SS_TO/GCS/LAX/Unifi,1,No
SS_TO,Cabin,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,SS_TO/GCS/LAX/Unifi/Cabin,0,Yes
SS_TO,LGA,GCS,station,2,3.37,Goal,Root/div/station,SS_TO/GCS/LGA,3,No
SS_TO,",null,",LGA,vendor,3,12.88,Goal,Root/div/station/vendor,"SS_TO/GCS/LGA/,null,",1,No
SS_TO,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"SS_TO/GCS/LGA/,null,/Cabin",0,Yes
SS_TO,G2,LGA,vendor,3,40.85,Goal,Root/div/station/vendor,SS_TO/GCS/LGA/G2,1,No
SS_TO,Cabin,G2,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,SS_TO/GCS/LGA/G2/Cabin,0,Yes
SS_TO,Menzies Aviation,LGA,vendor,3,46.27,Goal,Root/div/station/vendor,SS_TO/GCS/LGA/Menzies Aviation,1,No
SS_TO,Cabin,Menzies Aviation,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,SS_TO/GCS/LGA/Menzies Aviation/Cabin,0,Yes
SS_TO,MCI,GCS,station,2,1.46,Goal,Root/div/station,SS_TO/GCS/MCI,2,No
SS_TO,",null,",MCI,vendor,3,79.87,Goal,Root/div/station/vendor,"SS_TO/GCS/MCI/,null,",1,No
SS_TO,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"SS_TO/GCS/MCI/,null,/Cabin",0,Yes
SS_TO,Unifi,MCI,vendor,3,20.13,Goal,Root/div/station/vendor,SS_TO/GCS/MCI/Unifi,1,No
SS_TO,Cabin,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,SS_TO/GCS/MCI/Unifi/Cabin,0,Yes
SS_TO,MCO,GCS,station,2,3.45,Goal,Root/div/station,SS_TO/GCS/MCO,2,No
SS_TO,",null,",MCO,vendor,3,58.83,Goal,Root/div/station/vendor,"SS_TO/GCS/MCO/,null,",1,No
SS_TO,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"SS_TO/GCS/MCO/,null,/Cabin",0,Yes
SS_TO,Eulen,MCO,vendor,3,41.17,Goal,Root/div/station/vendor,SS_TO/GCS/MCO/Eulen,1,No
SS_TO,Cabin,Eulen,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,SS_TO/GCS/MCO/Eulen/Cabin,0,Yes
SS_TO,MDW,GCS,station,2,3.43,Goal,Root/div/station,SS_TO/GCS/MDW,3,No
SS_TO,",null,",MDW,vendor,3,27.28,Goal,Root/div/station/vendor,"SS_TO/GCS/MDW/,null,",1,No
SS_TO,Cabin,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"SS_TO/GCS/MDW/,null,/Cabin",0,Yes
