KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
SYS_CTR_D0,SYS_CTR_D0,,Root,0,1,Goal,Root,SYS_CTR_D0,1,No
SYS_CTR_D0,OBS,SYS_CTR_D0,div,1,100.0,Goal,Root/div,SYS_CTR_D0/OBS,176,No
SYS_CTR_D0,Aerococina,OBS,caterer,2,0.21,Goal,Root/div/caterer,SYS_CTR_D0/OBS/Aerococina,0,Yes
SYS_CTR_D0,AirFayre,OBS,caterer,2,0.17,Goal,Root/div/caterer,SYS_CTR_D0/OBS/AirFayre,0,Yes
SYS_CTR_D0,Alpha,OBS,caterer,2,0.63,Goal,Root/div/caterer,SYS_CTR_D0/OBS/Alpha,0,Yes
SYS_CTR_D0,Canonica,OBS,caterer,2,0.35,Goal,Root/div/caterer,SYS_CTR_D0/OBS/Canonica,0,Yes
SYS_CTR_D0,CasaProveedora,OBS,caterer,2,0.16,Goal,Root/div/caterer,SYS_CTR_D0/OBS/CasaProveedora,0,Yes
SYS_CTR_D0,CateringPor,OBS,caterer,2,0.02,Goal,Root/div/caterer,SYS_CTR_D0/OBS/CateringPor,0,Yes
SYS_CTR_D0,Dakar,OBS,caterer,2,1.03,Goal,Root/div/caterer,SYS_CTR_D0/OBS/Dakar,0,Yes
SYS_CTR_D0,dnata,OBS,caterer,2,0.68,Goal,Root/div/caterer,SYS_CTR_D0/OBS/dnata,0,Yes
SYS_CTR_D0,DOCO,OBS,caterer,2,0.19,Goal,Root/div/caterer,SYS_CTR_D0/OBS/DOCO,0,Yes
SYS_CTR_D0,EFG,OBS,caterer,2,0.74,Goal,Root/div/caterer,SYS_CTR_D0/OBS/EFG,0,Yes
SYS_CTR_D0,EGSC,OBS,caterer,2,0.54,Goal,Root/div/caterer,SYS_CTR_D0/OBS/EGSC,0,Yes
SYS_CTR_D0,FlyFoodGrp,OBS,caterer,2,0.89,Goal,Root/div/caterer,SYS_CTR_D0/OBS/FlyFoodGrp,0,Yes
SYS_CTR_D0,GG,OBS,caterer,2,0.87,Goal,Root/div/caterer,SYS_CTR_D0/OBS/GG,0,Yes
SYS_CTR_D0,Goddard,OBS,caterer,2,0.27,Goal,Root/div/caterer,SYS_CTR_D0/OBS/Goddard,0,Yes
SYS_CTR_D0,IMC,OBS,caterer,2,0.34,Goal,Root/div/caterer,SYS_CTR_D0/OBS/IMC,0,Yes
SYS_CTR_D0,ISS,OBS,caterer,2,0.37,Goal,Root/div/caterer,SYS_CTR_D0/OBS/ISS,0,Yes
SYS_CTR_D0,LSG,OBS,caterer,2,0.96,Goal,Root/div/caterer,SYS_CTR_D0/OBS/LSG,0,Yes
SYS_CTR_D0,Mainline,OBS,caterer,2,0.01,Goal,Root/div/caterer,SYS_CTR_D0/OBS/Mainline,0,Yes
SYS_CTR_D0,Newrest,OBS,caterer,2,0.78,Goal,Root/div/caterer,SYS_CTR_D0/OBS/Newrest,0,Yes
SYS_CTR_D0,Servair,OBS,caterer,2,0.58,Goal,Root/div/caterer,SYS_CTR_D0/OBS/Servair,0,Yes
SYS_CTR_D0,ShanghaiEast,OBS,caterer,2,1.06,Goal,Root/div/caterer,SYS_CTR_D0/OBS/ShanghaiEast,0,Yes
SYS_CTR_D0,Sharp-DOCO,OBS,caterer,2,1.0,Goal,Root/div/caterer,SYS_CTR_D0/OBS/Sharp-DOCO,0,Yes
SYS_CTR_D0,SkyCater,OBS,caterer,2,0.37,Goal,Root/div/caterer,SYS_CTR_D0/OBS/SkyCater,0,Yes
SYS_CTR_D0,TFK,OBS,caterer,2,0.95,Goal,Root/div/caterer,SYS_CTR_D0/OBS/TFK,0,Yes
