KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
TOT_COST,TOT_COST,,Root,0,1,Goal,Root,TOT_COST,3,No
TOT_COST,ACS,TOT_COST,div,1,8.44,Goal,Root/div,TOT_COST/ACS,141,No
TOT_COST,AUS_Director,ACS,director,2,1.27,Goal,Root/div/director,TOT_COST/ACS/AUS_Director,0,Yes
TOT_COST,Central_Director,ACS,director,2,1.31,Goal,Root/div/director,TOT_COST/ACS/Central_Director,0,Yes
TOT_COST,East_Director,ACS,director,2,1.08,Goal,Root/div/director,TOT_COST/ACS/East_Director,0,Yes
TOT_COST,FieldStations_Director,ACS,director,2,1.04,Goal,Root/div/director,TOT_COST/ACS/FieldStations_Director,0,Yes
TOT_COST,Florida_Director,ACS,director,2,1.35,Goal,Root/div/director,TOT_COST/ACS/Florida_Director,0,Yes
TOT_COST,Hub_ATL,ACS,director,2,0.2,Goal,Root/div/director,TOT_COST/ACS/Hub_ATL,0,Yes
TOT_COST,Hub_BOS,ACS,director,2,0.48,Goal,Root/div/director,TOT_COST/ACS/Hub_BOS,0,Yes
TOT_COST,Hub_DTW,ACS,director,2,1.08,Goal,Root/div/director,TOT_COST/ACS/Hub_DTW,0,Yes
TOT_COST,Hub_JFK,ACS,director,2,1.13,Goal,Root/div/director,TOT_COST/ACS/Hub_JFK,0,Yes
TOT_COST,Hub_LAX,ACS,director,2,0.67,Goal,Root/div/director,TOT_COST/ACS/Hub_LAX,0,Yes
TOT_COST,Hub_LGA,ACS,director,2,0.94,Goal,Root/div/director,TOT_COST/ACS/Hub_LGA,0,Yes
TOT_COST,Hub_MSP,ACS,director,2,0.42,Goal,Root/div/director,TOT_COST/ACS/Hub_MSP,0,Yes
TOT_COST,Hub_SEA,ACS,director,2,0.69,Goal,Root/div/director,TOT_COST/ACS/Hub_SEA,0,Yes
TOT_COST,Hub_SLC,ACS,director,2,0.72,Goal,Root/div/director,TOT_COST/ACS/Hub_SLC,0,Yes
TOT_COST,West_Director,ACS,director,2,0.98,Goal,Root/div/director,TOT_COST/ACS/West_Director,0,Yes
TOT_COST,ACSATL,ACS,division,2,0.78,Goal,Root/div/division,TOT_COST/ACS/ACSATL,0,Yes
TOT_COST,Central,ACS,division,2,0.54,Goal,Root/div/division,TOT_COST/ACS/Central,0,Yes
TOT_COST,East,ACS,division,2,0.62,Goal,Root/div/division,TOT_COST/ACS/East,0,Yes
TOT_COST,FieldStations,ACS,division,2,0.54,Goal,Root/div/division,TOT_COST/ACS/FieldStations,0,Yes
TOT_COST,JFK_BOS,ACS,division,2,1.06,Goal,Root/div/division,TOT_COST/ACS/JFK_BOS,0,Yes
TOT_COST,MSP_SEA_SLC,ACS,division,2,0.49,Goal,Root/div/division,TOT_COST/ACS/MSP_SEA_SLC,0,Yes
TOT_COST,West,ACS,division,2,1.32,Goal,Root/div/division,TOT_COST/ACS/West,0,Yes
TOT_COST,AUS_Region,ACS,region,2,1.09,Goal,Root/div/region,TOT_COST/ACS/AUS_Region,0,Yes
TOT_COST,Central_Region,ACS,region,2,1.08,Goal,Root/div/region,TOT_COST/ACS/Central_Region,0,Yes
TOT_COST,Florida_Region,ACS,region,2,1.05,Goal,Root/div/region,TOT_COST/ACS/Florida_Region,0,Yes
TOT_COST,FS_Central,ACS,region,2,0.96,Goal,Root/div/region,TOT_COST/ACS/FS_Central,0,Yes
TOT_COST,FS_East,ACS,region,2,0.84,Goal,Root/div/region,TOT_COST/ACS/FS_East,0,Yes
TOT_COST,FS_MountainWest,ACS,region,2,0.03,Goal,Root/div/region,TOT_COST/ACS/FS_MountainWest,0,Yes
TOT_COST,FS_South,ACS,region,2,0.07,Goal,Root/div/region,TOT_COST/ACS/FS_South,0,Yes
TOT_COST,FS_West,ACS,region,2,0.54,Goal,Root/div/region,TOT_COST/ACS/FS_West,0,Yes
TOT_COST,GreatLakes_Region,ACS,region,2,0.45,Goal,Root/div/region,TOT_COST/ACS/GreatLakes_Region,0,Yes
TOT_COST,MCO_Region,ACS,region,2,0.24,Goal,Root/div/region,TOT_COST/ACS/MCO_Region,0,Yes
TOT_COST,MIA_Region,ACS,region,2,1.35,Goal,Root/div/region,TOT_COST/ACS/MIA_Region,0,Yes
TOT_COST,Northeast_Region,ACS,region,2,0.38,Goal,Root/div/region,TOT_COST/ACS/Northeast_Region,0,Yes
TOT_COST,Southeast_Region,ACS,region,2,1.38,Goal,Root/div/region,TOT_COST/ACS/Southeast_Region,0,Yes
TOT_COST,SouthWest_Region,ACS,region,2,0.18,Goal,Root/div/region,TOT_COST/ACS/SouthWest_Region,0,Yes
TOT_COST,West_Region,ACS,region,2,0.44,Goal,Root/div/region,TOT_COST/ACS/West_Region,0,Yes
TOT_COST,ABQ,ACS,station,2,1.15,Goal,Root/div/station,TOT_COST/ACS/ABQ,0,Yes
TOT_COST,ALB,ACS,station,2,0.74,Goal,Root/div/station,TOT_COST/ACS/ALB,0,Yes
TOT_COST,ANC,ACS,station,2,0.77,Goal,Root/div/station,TOT_COST/ACS/ANC,0,Yes
TOT_COST,ATL,ACS,station,2,0.12,Goal,Root/div/station,TOT_COST/ACS/ATL,0,Yes
TOT_COST,AUS,ACS,station,2,0.29,Goal,Root/div/station,TOT_COST/ACS/AUS,0,Yes
TOT_COST,BDL,ACS,station,2,0.05,Goal,Root/div/station,TOT_COST/ACS/BDL,0,Yes
TOT_COST,BHM,ACS,station,2,0.3,Goal,Root/div/station,TOT_COST/ACS/BHM,0,Yes
TOT_COST,BNA,ACS,station,2,1.33,Goal,Root/div/station,TOT_COST/ACS/BNA,0,Yes
TOT_COST,BOI,ACS,station,2,0.87,Goal,Root/div/station,TOT_COST/ACS/BOI,0,Yes
TOT_COST,BOS,ACS,station,2,1.25,Goal,Root/div/station,TOT_COST/ACS/BOS,0,Yes
TOT_COST,BWI,ACS,station,2,1.27,Goal,Root/div/station,TOT_COST/ACS/BWI,0,Yes
TOT_COST,BZN,ACS,station,2,1.17,Goal,Root/div/station,TOT_COST/ACS/BZN,0,Yes
TOT_COST,CAE,ACS,station,2,1.11,Goal,Root/div/station,TOT_COST/ACS/CAE,0,Yes
TOT_COST,CHS,ACS,station,2,0.62,Goal,Root/div/station,TOT_COST/ACS/CHS,0,Yes
TOT_COST,CLE,ACS,station,2,1.07,Goal,Root/div/station,TOT_COST/ACS/CLE,0,Yes
TOT_COST,CLT,ACS,station,2,0.11,Goal,Root/div/station,TOT_COST/ACS/CLT,0,Yes
TOT_COST,CMH,ACS,station,2,1.16,Goal,Root/div/station,TOT_COST/ACS/CMH,0,Yes
TOT_COST,COS,ACS,station,2,0.66,Goal,Root/div/station,TOT_COST/ACS/COS,0,Yes
TOT_COST,CVG,ACS,station,2,1.32,Goal,Root/div/station,TOT_COST/ACS/CVG,0,Yes
TOT_COST,DAB,ACS,station,2,0.7,Goal,Root/div/station,TOT_COST/ACS/DAB,0,Yes
TOT_COST,DAY,ACS,station,2,0.74,Goal,Root/div/station,TOT_COST/ACS/DAY,0,Yes
TOT_COST,DCA,ACS,station,2,0.28,Goal,Root/div/station,TOT_COST/ACS/DCA,0,Yes
TOT_COST,DEN,ACS,station,2,0.13,Goal,Root/div/station,TOT_COST/ACS/DEN,0,Yes
TOT_COST,DFW,ACS,station,2,0.8,Goal,Root/div/station,TOT_COST/ACS/DFW,0,Yes
TOT_COST,DTW,ACS,station,2,0.54,Goal,Root/div/station,TOT_COST/ACS/DTW,0,Yes
TOT_COST,ELP,ACS,station,2,0.67,Goal,Root/div/station,TOT_COST/ACS/ELP,0,Yes
TOT_COST,EWR,ACS,station,2,1.1,Goal,Root/div/station,TOT_COST/ACS/EWR,0,Yes
TOT_COST,FLL,ACS,station,2,0.5,Goal,Root/div/station,TOT_COST/ACS/FLL,0,Yes
TOT_COST,GRB,ACS,station,2,0.54,Goal,Root/div/station,TOT_COST/ACS/GRB,0,Yes
TOT_COST,GRR,ACS,station,2,0.52,Goal,Root/div/station,TOT_COST/ACS/GRR,0,Yes
TOT_COST,GSO,ACS,station,2,1.42,Goal,Root/div/station,TOT_COST/ACS/GSO,0,Yes
TOT_COST,GSP,ACS,station,2,0.32,Goal,Root/div/station,TOT_COST/ACS/GSP,0,Yes
TOT_COST,HNL,ACS,station,2,0.87,Goal,Root/div/station,TOT_COST/ACS/HNL,0,Yes
TOT_COST,HOU,ACS,station,2,0.95,Goal,Root/div/station,TOT_COST/ACS/HOU,0,Yes
TOT_COST,HSV,ACS,station,2,0.16,Goal,Root/div/station,TOT_COST/ACS/HSV,0,Yes
TOT_COST,IAD,ACS,station,2,0.15,Goal,Root/div/station,TOT_COST/ACS/IAD,0,Yes
TOT_COST,IAH,ACS,station,2,1.01,Goal,Root/div/station,TOT_COST/ACS/IAH,0,Yes
TOT_COST,IND,ACS,station,2,0.29,Goal,Root/div/station,TOT_COST/ACS/IND,0,Yes
TOT_COST,JAN,ACS,station,2,0.23,Goal,Root/div/station,TOT_COST/ACS/JAN,0,Yes
TOT_COST,JAX,ACS,station,2,1.43,Goal,Root/div/station,TOT_COST/ACS/JAX,0,Yes
TOT_COST,JFK,ACS,station,2,1.16,Goal,Root/div/station,TOT_COST/ACS/JFK,0,Yes
TOT_COST,KOA,ACS,station,2,0.83,Goal,Root/div/station,TOT_COST/ACS/KOA,0,Yes
TOT_COST,LAS,ACS,station,2,0.53,Goal,Root/div/station,TOT_COST/ACS/LAS,0,Yes
TOT_COST,LAX,ACS,station,2,0.33,Goal,Root/div/station,TOT_COST/ACS/LAX,0,Yes
TOT_COST,LEX,ACS,station,2,1.1,Goal,Root/div/station,TOT_COST/ACS/LEX,0,Yes
TOT_COST,LGA,ACS,station,2,0.38,Goal,Root/div/station,TOT_COST/ACS/LGA,0,Yes
TOT_COST,LIH,ACS,station,2,0.17,Goal,Root/div/station,TOT_COST/ACS/LIH,0,Yes
TOT_COST,LIT,ACS,station,2,0.5,Goal,Root/div/station,TOT_COST/ACS/LIT,0,Yes
TOT_COST,MCI,ACS,station,2,0.77,Goal,Root/div/station,TOT_COST/ACS/MCI,0,Yes
TOT_COST,MCO,ACS,station,2,1.24,Goal,Root/div/station,TOT_COST/ACS/MCO,0,Yes
TOT_COST,MDW,ACS,station,2,0.92,Goal,Root/div/station,TOT_COST/ACS/MDW,0,Yes
TOT_COST,MEM,ACS,station,2,0.95,Goal,Root/div/station,TOT_COST/ACS/MEM,0,Yes
TOT_COST,MIA,ACS,station,2,1.42,Goal,Root/div/station,TOT_COST/ACS/MIA,0,Yes
TOT_COST,MKE,ACS,station,2,0.69,Goal,Root/div/station,TOT_COST/ACS/MKE,0,Yes
TOT_COST,MLB,ACS,station,2,0.31,Goal,Root/div/station,TOT_COST/ACS/MLB,0,Yes
TOT_COST,MOB,ACS,station,2,0.12,Goal,Root/div/station,TOT_COST/ACS/MOB,0,Yes
TOT_COST,MSN,ACS,station,2,0.62,Goal,Root/div/station,TOT_COST/ACS/MSN,0,Yes
TOT_COST,MSP,ACS,station,2,0.4,Goal,Root/div/station,TOT_COST/ACS/MSP,0,Yes
TOT_COST,MSY,ACS,station,2,1.06,Goal,Root/div/station,TOT_COST/ACS/MSY,0,Yes
