KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
WCH_AAT,WCH_AAT,,Root,0,1,Goal,Root,WCH_AAT,1,No
WCH_AAT,VND,WCH_AAT,div,1,100.0,Goal,Root/div,WCH_AAT/VND,48,No
WCH_AAT,ATL,VND,station,2,2.1,Goal,Root/div/station,WCH_AAT/VND/ATL,1,No
WCH_AAT,Unifi,ATL,vendor,3,100.0,Goal,Root/div/station/vendor,WCH_AAT/VND/ATL/Unifi,1,No
WCH_AAT,WCH,Unifi,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_AAT/VND/ATL/Unifi/WCH,0,Yes
WCH_AAT,AUS,VND,station,2,1.18,Goal,Root/div/station,WCH_AAT/VND/AUS,1,No
WCH_AAT,Unifi,AUS,vendor,3,100.0,Goal,Root/div/station/vendor,WCH_AAT/VND/AUS/Unifi,1,No
WCH_AAT,WCH,Unifi,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_AAT/VND/AUS/Unifi/WCH,0,Yes
WCH_AAT,BDL,VND,station,2,2.92,Goal,Root/div/station,WCH_AAT/VND/BDL,1,No
WCH_AAT,Menzies Aviation,BDL,vendor,3,100.0,Goal,Root/div/station/vendor,WCH_AAT/VND/BDL/Menzies Aviation,1,No
WCH_AAT,WCH,Menzies Aviation,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_AAT/VND/BDL/Menzies Aviation/WCH,0,Yes
WCH_AAT,BNA,VND,station,2,2.55,Goal,Root/div/station,WCH_AAT/VND/BNA,1,No
WCH_AAT,Unifi,BNA,vendor,3,100.0,Goal,Root/div/station/vendor,WCH_AAT/VND/BNA/Unifi,1,No
WCH_AAT,WCH,Unifi,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_AAT/VND/BNA/Unifi/WCH,0,Yes
WCH_AAT,BOS,VND,station,2,3.16,Goal,Root/div/station,WCH_AAT/VND/BOS,1,No
WCH_AAT,Unifi,BOS,vendor,3,100.0,Goal,Root/div/station/vendor,WCH_AAT/VND/BOS/Unifi,1,No
WCH_AAT,WCH,Unifi,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_AAT/VND/BOS/Unifi/WCH,0,Yes
WCH_AAT,BWI,VND,station,2,3.26,Goal,Root/div/station,WCH_AAT/VND/BWI,1,No
WCH_AAT,HHS Aviation,BWI,vendor,3,100.0,Goal,Root/div/station/vendor,WCH_AAT/VND/BWI/HHS Aviation,1,No
WCH_AAT,WCH,HHS Aviation,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_AAT/VND/BWI/HHS Aviation/WCH,0,Yes
WCH_AAT,CHS,VND,station,2,1.41,Goal,Root/div/station,WCH_AAT/VND/CHS,1,No
WCH_AAT,Menzies Aviation,CHS,vendor,3,100.0,Goal,Root/div/station/vendor,WCH_AAT/VND/CHS/Menzies Aviation,1,No
WCH_AAT,WCH,Menzies Aviation,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_AAT/VND/CHS/Menzies Aviation/WCH,0,Yes
WCH_AAT,CLE,VND,station,2,0.45,Goal,Root/div/station,WCH_AAT/VND/CLE,1,No
WCH_AAT,Unifi,CLE,vendor,3,100.0,Goal,Root/div/station/vendor,WCH_AAT/VND/CLE/Unifi,1,No
WCH_AAT,WCH,Unifi,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_AAT/VND/CLE/Unifi/WCH,0,Yes
WCH_AAT,CLT,VND,station,2,1.8,Goal,Root/div/station,WCH_AAT/VND/CLT,1,No
WCH_AAT,Menzies Aviation,CLT,vendor,3,100.0,Goal,Root/div/station/vendor,WCH_AAT/VND/CLT/Menzies Aviation,1,No
WCH_AAT,WCH,Menzies Aviation,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_AAT/VND/CLT/Menzies Aviation/WCH,0,Yes
WCH_AAT,CMH,VND,station,2,1.6,Goal,Root/div/station,WCH_AAT/VND/CMH,1,No
WCH_AAT,Unifi,CMH,vendor,3,100.0,Goal,Root/div/station/vendor,WCH_AAT/VND/CMH/Unifi,1,No
WCH_AAT,WCH,Unifi,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_AAT/VND/CMH/Unifi/WCH,0,Yes
WCH_AAT,CVG,VND,station,2,1.65,Goal,Root/div/station,WCH_AAT/VND/CVG,1,No
WCH_AAT,Unifi,CVG,vendor,3,100.0,Goal,Root/div/station/vendor,WCH_AAT/VND/CVG/Unifi,1,No
WCH_AAT,WCH,Unifi,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_AAT/VND/CVG/Unifi/WCH,0,Yes
WCH_AAT,DAB,VND,station,2,1.35,Goal,Root/div/station,WCH_AAT/VND/DAB,1,No
WCH_AAT,Menzies Aviation,DAB,vendor,3,100.0,Goal,Root/div/station/vendor,WCH_AAT/VND/DAB/Menzies Aviation,1,No
WCH_AAT,WCH,Menzies Aviation,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_AAT/VND/DAB/Menzies Aviation/WCH,0,Yes
WCH_AAT,DEN,VND,station,2,2.26,Goal,Root/div/station,WCH_AAT/VND/DEN,1,No
WCH_AAT,Unifi,DEN,vendor,3,100.0,Goal,Root/div/station/vendor,WCH_AAT/VND/DEN/Unifi,1,No
WCH_AAT,WCH,Unifi,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_AAT/VND/DEN/Unifi/WCH,0,Yes
WCH_AAT,DSM,VND,station,2,1.26,Goal,Root/div/station,WCH_AAT/VND/DSM,1,No
WCH_AAT,Unifi,DSM,vendor,3,100.0,Goal,Root/div/station/vendor,WCH_AAT/VND/DSM/Unifi,1,No
WCH_AAT,WCH,Unifi,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_AAT/VND/DSM/Unifi/WCH,0,Yes
WCH_AAT,DTW,VND,station,2,2.5,Goal,Root/div/station,WCH_AAT/VND/DTW,1,No
WCH_AAT,Unifi,DTW,vendor,3,100.0,Goal,Root/div/station/vendor,WCH_AAT/VND/DTW/Unifi,1,No
WCH_AAT,WCH,Unifi,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_AAT/VND/DTW/Unifi/WCH,0,Yes
WCH_AAT,EWR,VND,station,2,3.45,Goal,Root/div/station,WCH_AAT/VND/EWR,1,No
WCH_AAT,Menzies Aviation,EWR,vendor,3,100.0,Goal,Root/div/station/vendor,WCH_AAT/VND/EWR/Menzies Aviation,1,No
WCH_AAT,WCH,Menzies Aviation,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_AAT/VND/EWR/Menzies Aviation/WCH,0,Yes
WCH_AAT,FLL,VND,station,2,2.48,Goal,Root/div/station,WCH_AAT/VND/FLL,1,No
WCH_AAT,HHS Aviation,FLL,vendor,3,100.0,Goal,Root/div/station/vendor,WCH_AAT/VND/FLL/HHS Aviation,1,No
WCH_AAT,WCH,HHS Aviation,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_AAT/VND/FLL/HHS Aviation/WCH,0,Yes
WCH_AAT,GSP,VND,station,2,2.14,Goal,Root/div/station,WCH_AAT/VND/GSP,1,No
WCH_AAT,Menzies Aviation,GSP,vendor,3,100.0,Goal,Root/div/station/vendor,WCH_AAT/VND/GSP/Menzies Aviation,1,No
WCH_AAT,WCH,Menzies Aviation,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_AAT/VND/GSP/Menzies Aviation/WCH,0,Yes
WCH_AAT,IAH,VND,station,2,1.71,Goal,Root/div/station,WCH_AAT/VND/IAH,1,No
WCH_AAT,Menzies Aviation,IAH,vendor,3,100.0,Goal,Root/div/station/vendor,WCH_AAT/VND/IAH/Menzies Aviation,1,No
WCH_AAT,WCH,Menzies Aviation,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_AAT/VND/IAH/Menzies Aviation/WCH,0,Yes
WCH_AAT,IND,VND,station,2,1.94,Goal,Root/div/station,WCH_AAT/VND/IND,1,No
WCH_AAT,Menzies Aviation,IND,vendor,3,100.0,Goal,Root/div/station/vendor,WCH_AAT/VND/IND/Menzies Aviation,1,No
WCH_AAT,WCH,Menzies Aviation,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_AAT/VND/IND/Menzies Aviation/WCH,0,Yes
WCH_AAT,JAX,VND,station,2,3.24,Goal,Root/div/station,WCH_AAT/VND/JAX,1,No
WCH_AAT,Unifi,JAX,vendor,3,100.0,Goal,Root/div/station/vendor,WCH_AAT/VND/JAX/Unifi,1,No
WCH_AAT,WCH,Unifi,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_AAT/VND/JAX/Unifi/WCH,0,Yes
WCH_AAT,JFK,VND,station,2,1.65,Goal,Root/div/station,WCH_AAT/VND/JFK,1,No
WCH_AAT,Unifi,JFK,vendor,3,100.0,Goal,Root/div/station/vendor,WCH_AAT/VND/JFK/Unifi,1,No
WCH_AAT,WCH,Unifi,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_AAT/VND/JFK/Unifi/WCH,0,Yes
WCH_AAT,LAS,VND,station,2,2.57,Goal,Root/div/station,WCH_AAT/VND/LAS,1,No
WCH_AAT,Unifi,LAS,vendor,3,100.0,Goal,Root/div/station/vendor,WCH_AAT/VND/LAS/Unifi,1,No
WCH_AAT,WCH,Unifi,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_AAT/VND/LAS/Unifi/WCH,0,Yes
WCH_AAT,LAX,VND,station,2,2.09,Goal,Root/div/station,WCH_AAT/VND/LAX,1,No
WCH_AAT,Unifi,LAX,vendor,3,100.0,Goal,Root/div/station/vendor,WCH_AAT/VND/LAX/Unifi,1,No
WCH_AAT,WCH,Unifi,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_AAT/VND/LAX/Unifi/WCH,0,Yes
WCH_AAT,LGA,VND,station,2,3.11,Goal,Root/div/station,WCH_AAT/VND/LGA,1,No
WCH_AAT,Menzies Aviation,LGA,vendor,3,100.0,Goal,Root/div/station/vendor,WCH_AAT/VND/LGA/Menzies Aviation,1,No
WCH_AAT,WCH,Menzies Aviation,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_AAT/VND/LGA/Menzies Aviation/WCH,0,Yes
WCH_AAT,MCO,VND,station,2,1.33,Goal,Root/div/station,WCH_AAT/VND/MCO,1,No
WCH_AAT,Unifi,MCO,vendor,3,100.0,Goal,Root/div/station/vendor,WCH_AAT/VND/MCO/Unifi,1,No
WCH_AAT,WCH,Unifi,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_AAT/VND/MCO/Unifi/WCH,0,Yes
WCH_AAT,MDW,VND,station,2,3.45,Goal,Root/div/station,WCH_AAT/VND/MDW,1,No
WCH_AAT,Unifi,MDW,vendor,3,100.0,Goal,Root/div/station/vendor,WCH_AAT/VND/MDW/Unifi,1,No
