KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
WCH_AUDIT,WCH_AUDIT,,Root,0,1,Goal,Root,WCH_AUDIT,1,No
WCH_AUDIT,VND,WCH_AUDIT,div,1,100.0,Goal,Root/div,WCH_AUDIT/VND,507,No
WCH_AUDIT,",null,",VND,station,2,0.04,Goal,Root/div/station,"WCH_AUDIT/VND/,null,",2,No
WCH_AUDIT,",null,",",null,",vendor,3,8.55,Goal,Root/div/station/vendor,"WCH_AUDIT/VND/,null,/,null,",1,No
WCH_AUDIT,WCH,",null,",function,4,100.0,Goal,Root/div/station/vendor/function,"WCH_AUDIT/VND/,null,/,null,/WCH",0,Yes
WCH_AUDIT,WCH,",null,",function,3,91.45,Goal,Root/div/station/function,"WCH_AUDIT/VND/,null,/WCH",0,Yes
WCH_AUDIT,ABE,VND,station,2,0.15,Goal,Root/div/station,WCH_AUDIT/VND/ABE,2,No
WCH_AUDIT,",null,",ABE,vendor,3,53.4,Goal,Root/div/station/vendor,"WCH_AUDIT/VND/ABE/,null,",1,No
WCH_AUDIT,WCH,",null,",function,4,100.0,Goal,Root/div/station/vendor/function,"WCH_AUDIT/VND/ABE/,null,/WCH",0,Yes
WCH_AUDIT,Unifi,ABE,vendor,3,46.6,Goal,Root/div/station/vendor,WCH_AUDIT/VND/ABE/Unifi,1,No
WCH_AUDIT,WCH,Unifi,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_AUDIT/VND/ABE/Unifi/WCH,0,Yes
WCH_AUDIT,ABQ,VND,station,2,0.17,Goal,Root/div/station,WCH_AUDIT/VND/ABQ,2,No
WCH_AUDIT,",null,",ABQ,vendor,3,55.29,Goal,Root/div/station/vendor,"WCH_AUDIT/VND/ABQ/,null,",1,No
WCH_AUDIT,WCH,",null,",function,4,100.0,Goal,Root/div/station/vendor/function,"WCH_AUDIT/VND/ABQ/,null,/WCH",0,Yes
WCH_AUDIT,PrimeFlight,ABQ,vendor,3,44.71,Goal,Root/div/station/vendor,WCH_AUDIT/VND/ABQ/PrimeFlight,1,No
WCH_AUDIT,WCH,PrimeFlight,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_AUDIT/VND/ABQ/PrimeFlight/WCH,0,Yes
WCH_AUDIT,ABR,VND,station,2,0.01,Goal,Root/div/station,WCH_AUDIT/VND/ABR,2,No
WCH_AUDIT,",null,",ABR,vendor,3,41.29,Goal,Root/div/station/vendor,"WCH_AUDIT/VND/ABR/,null,",1,No
WCH_AUDIT,WCH,",null,",function,4,100.0,Goal,Root/div/station/vendor/function,"WCH_AUDIT/VND/ABR/,null,/WCH",0,Yes
WCH_AUDIT,Unifi,ABR,vendor,3,58.71,Goal,Root/div/station/vendor,WCH_AUDIT/VND/ABR/Unifi,1,No
WCH_AUDIT,WCH,Unifi,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_AUDIT/VND/ABR/Unifi/WCH,0,Yes
WCH_AUDIT,ABY,VND,station,2,0.14,Goal,Root/div/station,WCH_AUDIT/VND/ABY,2,No
WCH_AUDIT,G2,ABY,vendor,3,60.57,Goal,Root/div/station/vendor,WCH_AUDIT/VND/ABY/G2,1,No
WCH_AUDIT,WCH,G2,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_AUDIT/VND/ABY/G2/WCH,0,Yes
WCH_AUDIT,Menzies Aviation,ABY,vendor,3,39.43,Goal,Root/div/station/vendor,WCH_AUDIT/VND/ABY/Menzies Aviation,1,No
WCH_AUDIT,WCH,Menzies Aviation,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_AUDIT/VND/ABY/Menzies Aviation/WCH,0,Yes
WCH_AUDIT,ACC,VND,station,2,0.39,Goal,Root/div/station,WCH_AUDIT/VND/ACC,2,No
WCH_AUDIT,AHS,ACC,vendor,3,47.93,Goal,Root/div/station/vendor,WCH_AUDIT/VND/ACC/AHS,1,No
WCH_AUDIT,WCH,AHS,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_AUDIT/VND/ACC/AHS/WCH,0,Yes
WCH_AUDIT,Aviance,ACC,vendor,3,52.07,Goal,Root/div/station/vendor,WCH_AUDIT/VND/ACC/Aviance,1,No
