KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
WCH_CMPLT,WCH_CMPLT,,Root,0,1,Goal,Root,WCH_CMPLT,1,No
WCH_CMPLT,VND,WCH_CMPLT,div,1,100.0,Goal,Root/div,WCH_CMPLT/VND,47,No
WCH_CMPLT,ATL,VND,station,2,1.67,Goal,Root/div/station,WCH_CMPLT/VND/ATL,1,No
WCH_CMPLT,Unifi,ATL,vendor,3,100.0,Goal,Root/div/station/vendor,WCH_CMPLT/VND/ATL/Unifi,1,No
WCH_CMPLT,WCH,Unifi,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_CMPLT/VND/ATL/Unifi/WCH,0,Yes
WCH_CMPLT,AUS,VND,station,2,2.78,Goal,Root/div/station,WCH_CMPLT/VND/AUS,1,No
WCH_CMPLT,Unifi,AUS,vendor,3,100.0,Goal,Root/div/station/vendor,WCH_CMPLT/VND/AUS/Unifi,1,No
WCH_CMPLT,WCH,Unifi,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_CMPLT/VND/AUS/Unifi/WCH,0,Yes
WCH_CMPLT,BDL,VND,station,2,0.67,Goal,Root/div/station,WCH_CMPLT/VND/BDL,1,No
WCH_CMPLT,Menzies Aviation,BDL,vendor,3,100.0,Goal,Root/div/station/vendor,WCH_CMPLT/VND/BDL/Menzies Aviation,1,No
WCH_CMPLT,WCH,Menzies Aviation,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_CMPLT/VND/BDL/Menzies Aviation/WCH,0,Yes
WCH_CMPLT,BNA,VND,station,2,2.68,Goal,Root/div/station,WCH_CMPLT/VND/BNA,1,No
WCH_CMPLT,Unifi,BNA,vendor,3,100.0,Goal,Root/div/station/vendor,WCH_CMPLT/VND/BNA/Unifi,1,No
WCH_CMPLT,WCH,Unifi,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_CMPLT/VND/BNA/Unifi/WCH,0,Yes
WCH_CMPLT,BOS,VND,station,2,3.17,Goal,Root/div/station,WCH_CMPLT/VND/BOS,1,No
WCH_CMPLT,Unifi,BOS,vendor,3,100.0,Goal,Root/div/station/vendor,WCH_CMPLT/VND/BOS/Unifi,1,No
