KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
WCH_PUSH_3MIN,WCH_PUSH_3MIN,,Root,0,1,Goal,Root,WCH_PUSH_3MIN,1,No
WCH_PUSH_3MIN,VND,WCH_PUSH_3MIN,div,1,100.0,Goal,Root/div,WCH_PUSH_3MIN/VND,507,No
WCH_PUSH_3MIN,",null,",VND,station,2,0.19,Goal,Root/div/station,"WCH_PUSH_3MIN/VND/,null,",2,No
WCH_PUSH_3MIN,",null,",",null,",vendor,3,69.02,Goal,Root/div/station/vendor,"WCH_PUSH_3MIN/VND/,null,/,null,",1,No
WCH_PUSH_3MIN,WCH,",null,",function,4,100.0,Goal,Root/div/station/vendor/function,"WCH_PUSH_3MIN/VND/,null,/,null,/WCH",0,Yes
WCH_PUSH_3MIN,WCH,",null,",function,3,30.98,Goal,Root/div/station/function,"WCH_PUSH_3MIN/VND/,null,/WCH",0,Yes
WCH_PUSH_3MIN,ABE,VND,station,2,0.34,Goal,Root/div/station,WCH_PUSH_3MIN/VND/ABE,2,No
WCH_PUSH_3MIN,",null,",ABE,vendor,3,81.01,Goal,Root/div/station/vendor,"WCH_PUSH_3MIN/VND/ABE/,null,",1,No
WCH_PUSH_3MIN,WCH,",null,",function,4,100.0,Goal,Root/div/station/vendor/function,"WCH_PUSH_3MIN/VND/ABE/,null,/WCH",0,Yes
WCH_PUSH_3MIN,Unifi,ABE,vendor,3,18.99,Goal,Root/div/station/vendor,WCH_PUSH_3MIN/VND/ABE/Unifi,1,No
WCH_PUSH_3MIN,WCH,Unifi,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_PUSH_3MIN/VND/ABE/Unifi/WCH,0,Yes
WCH_PUSH_3MIN,ABQ,VND,station,2,0.1,Goal,Root/div/station,WCH_PUSH_3MIN/VND/ABQ,2,No
WCH_PUSH_3MIN,",null,",ABQ,vendor,3,47.6,Goal,Root/div/station/vendor,"WCH_PUSH_3MIN/VND/ABQ/,null,",1,No
WCH_PUSH_3MIN,WCH,",null,",function,4,100.0,Goal,Root/div/station/vendor/function,"WCH_PUSH_3MIN/VND/ABQ/,null,/WCH",0,Yes
WCH_PUSH_3MIN,PrimeFlight,ABQ,vendor,3,52.4,Goal,Root/div/station/vendor,WCH_PUSH_3MIN/VND/ABQ/PrimeFlight,1,No
WCH_PUSH_3MIN,WCH,PrimeFlight,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_PUSH_3MIN/VND/ABQ/PrimeFlight/WCH,0,Yes
WCH_PUSH_3MIN,ABR,VND,station,2,0.09,Goal,Root/div/station,WCH_PUSH_3MIN/VND/ABR,2,No
WCH_PUSH_3MIN,",null,",ABR,vendor,3,9.85,Goal,Root/div/station/vendor,"WCH_PUSH_3MIN/VND/ABR/,null,",1,No
WCH_PUSH_3MIN,WCH,",null,",function,4,100.0,Goal,Root/div/station/vendor/function,"WCH_PUSH_3MIN/VND/ABR/,null,/WCH",0,Yes
WCH_PUSH_3MIN,Unifi,ABR,vendor,3,90.15,Goal,Root/div/station/vendor,WCH_PUSH_3MIN/VND/ABR/Unifi,1,No
WCH_PUSH_3MIN,WCH,Unifi,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_PUSH_3MIN/VND/ABR/Unifi/WCH,0,Yes
WCH_PUSH_3MIN,ABY,VND,station,2,0.12,Goal,Root/div/station,WCH_PUSH_3MIN/VND/ABY,2,No
WCH_PUSH_3MIN,G2,ABY,vendor,3,54.02,Goal,Root/div/station/vendor,WCH_PUSH_3MIN/VND/ABY/G2,1,No
WCH_PUSH_3MIN,WCH,G2,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_PUSH_3MIN/VND/ABY/G2/WCH,0,Yes
WCH_PUSH_3MIN,Menzies Aviation,ABY,vendor,3,45.98,Goal,Root/div/station/vendor,WCH_PUSH_3MIN/VND/ABY/Menzies Aviation,1,No
