KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
WCH_SCAN_COMP,WCH_SCAN_COMP,,Root,0,1,Goal,Root,WCH_SCAN_COMP,1,No
WCH_SCAN_COMP,VND,WCH_SCAN_COMP,div,1,100.0,Goal,Root/div,WCH_SCAN_COMP/VND,507,No
WCH_SCAN_COMP,",null,",VND,station,2,0.24,Goal,Root/div/station,"WCH_SCAN_COMP/VND/,null,",2,No
WCH_SCAN_COMP,",null,",",null,",vendor,3,44.95,Goal,Root/div/station/vendor,"WCH_SCAN_COMP/VND/,null,/,null,",1,No
WCH_SCAN_COMP,WCH,",null,",function,4,100.0,Goal,Root/div/station/vendor/function,"WCH_SCAN_COMP/VND/,null,/,null,/WCH",0,Yes
WCH_SCAN_COMP,WCH,",null,",function,3,55.05,Goal,Root/div/station/function,"WCH_SCAN_COMP/VND/,null,/WCH",0,Yes
WCH_SCAN_COMP,ABE,VND,station,2,0.15,Goal,Root/div/station,WCH_SCAN_COMP/VND/ABE,2,No
WCH_SCAN_COMP,",null,",ABE,vendor,3,40.06,Goal,Root/div/station/vendor,"WCH_SCAN_COMP/VND/ABE/,null,",1,No
WCH_SCAN_COMP,WCH,",null,",function,4,100.0,Goal,Root/div/station/vendor/function,"WCH_SCAN_COMP/VND/ABE/,null,/WCH",0,Yes
WCH_SCAN_COMP,Unifi,ABE,vendor,3,59.94,Goal,Root/div/station/vendor,WCH_SCAN_COMP/VND/ABE/Unifi,1,No
WCH_SCAN_COMP,WCH,Unifi,function,4,100.0,Goal,Root/div/station/vendor/function,WCH_SCAN_COMP/VND/ABE/Unifi/WCH,0,Yes
WCH_SCAN_COMP,ABQ,VND,station,2,0.36,Goal,Root/div/station,WCH_SCAN_COMP/VND/ABQ,2,No
WCH_SCAN_COMP,",null,",ABQ,vendor,3,46.32,Goal,Root/div/station/vendor,"WCH_SCAN_COMP/VND/ABQ/,null,",1,No
WCH_SCAN_COMP,WCH,",null,",function,4,100.0,Goal,Root/div/station/vendor/function,"WCH_SCAN_COMP/VND/ABQ/,null,/WCH",0,Yes
