KPI_Name,parent,node,Tier,sys,ml_dc_1,ml_dc_2,Mo_Nb,frst_flt_ind,dom_int,vendor,station,fleet,Baseline,Baseline_Num,Baseline_Den,Goal,Stretch,Contribution,Goal_Num,Goal_Den,Source,Goal_Yr,YTD_Num,YTD_Den
D0,,sys,1.0,sys,,,,,,,,,68.29,1216960,1782050,71.7,5.00%,1.0,1277808.0,1782050,Goal Input,2027,1277808.0,1782050
D0,sys,DC,2.0,sys,DC,,,,,,,,72.13,446980,619723,75.73,5.00%,0.36729226926110964,469329.0,619723,Goal Input,2027,469329.0,619723
D0,sys,DL,2.0,sys,DL,,,,,,,,66.24,769980,1162327,69.56,5.00%,0.6327077307388903,808479.0,1162327,Goal Input,2027,808479.0,1162327
D0,sys/DC,9E,3.0,sys,DC,9E,,,,,,,68.21,173872,254904,71.62,5.00%,0.38899279609825943,182565.6,254904,Cascaded,2027,182565.6,254904
D0,sys/DC,OO,3.0,sys,DC,OO,,,,,,,76.2,202544,265791,80.01,5.00%,0.4531388429012484,212671.2,265791,Cascaded,2027,212671.2,265791
D0,sys/DC,YX,3.0,sys,DC,YX,,,,,,,71.26,70564,99028,74.82,5.00%,0.1578683610004922,74092.2,99028,Cascaded,2027,74092.2,99028
D0,sys/DL,DL,3.0,sys,DL,DL,,,,,,,66.24,769980,1162327,69.56,5.00%,1.0,808479.0,1162327,Cascaded,2027,808479.0,1162327
D0,sys/DC/9E,1,4.0,sys,DC,9E,1,,,,,,69.4,13590,19583,72.87,5.00%,0.07816094598325204,14269.5,19583,Cascaded,2027,14269.5,19583
D0,sys/DC/9E,2,4.0,sys,DC,9E,2,,,,,,72.86,13557,18607,76.5,5.00%,0.07797115119168124,14234.85,18607,Cascaded,2027,28504.35,38190
D0,sys/DC/9E,3,4.0,sys,DC,9E,3,,,,,,62.55,13974,22339,65.68,5.00%,0.08036946719425785,14672.7,22339,Cascaded,2027,43177.05,60529
D0,sys/DC/9E,4,4.0,sys,DC,9E,4,,,,,,69.45,15772,22710,72.92,5.00%,0.09071040765620686,16560.6,22710,Cascaded,2027,59737.65,83239
D0,sys/DC/9E,5,4.0,sys,DC,9E,5,,,,,,68.36,15353,22458,71.78,5.00%,0.08830058893898961,16120.65,22458,Cascaded,2027,75858.3,105697
D0,sys/DC/9E,6,4.0,sys,DC,9E,6,,,,,,59.77,12430,20796,62.76,5.00%,0.07148937149167203,13051.5,20796,Cascaded,2027,88909.8,126493
D0,sys/DC/9E,7,4.0,sys,DC,9E,7,,,,,,62.05,13324,21473,65.15,5.00%,0.07663108493604491,13990.2,21473,Cascaded,2027,102900.0,147966
D0,sys/DC/9E,8,4.0,sys,DC,9E,8,,,,,,73.84,16699,22615,77.53,5.00%,0.09604191589215055,17533.95,22615,Cascaded,2027,120433.95000000001,170581
D0,sys/DC/9E,9,4.0,sys,DC,9E,9,,,,,,79.96,17081,21361,83.96,5.00%,0.09823893438851569,17935.05,21361,Cascaded,2027,138369.0,191942
D0,sys/DC/9E,10,4.0,sys,DC,9E,10,,,,,,75.54,16764,22192,79.32,5.00%,0.09641575411797185,17602.2,22192,Cascaded,2027,155971.2,214134
D0,sys/DC/9E,11,4.0,sys,DC,9E,11,,,,,,70.06,13867,19794,73.56,5.00%,0.07975407196098279,14560.35,19794,Cascaded,2027,170531.55000000002,233928
D0,sys/DC/9E,12,4.0,sys,DC,9E,12,,,,,,54.64,11461,20976,57.37,5.00%,0.06591630624827459,12034.05,20976,Cascaded,2027,182565.6,254904
D0,sys/DC/OO,1,4.0,sys,DC,OO,1,,,,,,68.7,14032,20425,72.14,5.00%,0.06927877399478632,14733.6,20425,Cascaded,2027,14733.6,20425
D0,sys/DC/OO,2,4.0,sys,DC,OO,2,,,,,,72.93,14390,19732,76.57,5.00%,0.07104629117623824,15109.5,19732,Cascaded,2027,29843.1,40157
D0,sys/DC/OO,3,4.0,sys,DC,OO,3,,,,,,70.93,16176,22807,74.47,5.00%,0.07986412828817442,16984.8,22807,Cascaded,2027,46827.9,62964
D0,sys/DC/OO,4,4.0,sys,DC,OO,4,,,,,,79.4,18173,22888,83.37,5.00%,0.08972371435342444,19081.65,22888,Cascaded,2027,65909.55,85852
D0,sys/DC/OO,5,4.0,sys,DC,OO,5,,,,,,78.65,18047,22945,82.59,5.00%,0.08910162730073466,18949.35,22945,Cascaded,2027,84858.90000000001,108797
D0,sys/DC/OO,6,4.0,sys,DC,OO,6,,,,,,74.5,17299,23220,78.23,5.00%,0.08540860257524291,18163.95,23220,Cascaded,2027,103022.85,132017
