KPI,Node Name,Parent,Category,Tier,Contribution,Target/Goal,Category Path,Node Path,Child Count,Leaf
ib_cgo_dooropen,ib_cgo_dooropen,,Root,0,1,Goal,Root,ib_cgo_dooropen,1,No
ib_cgo_dooropen,VND,ib_cgo_dooropen,div,1,100.0,Goal,Root/div,ib_cgo_dooropen/VND,133,No
ib_cgo_dooropen,ABE,VND,station,2,1.16,Goal,Root/div/station,ib_cgo_dooropen/VND/ABE,2,No
ib_cgo_dooropen,",null,",ABE,vendor,3,62.19,Goal,Root/div/station/vendor,"ib_cgo_dooropen/VND/ABE/,null,",1,No
ib_cgo_dooropen,FS,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"ib_cgo_dooropen/VND/ABE/,null,/FS",0,Yes
ib_cgo_dooropen,Unifi,ABE,vendor,3,37.81,Goal,Root/div/station/vendor,ib_cgo_dooropen/VND/ABE/Unifi,1,No
ib_cgo_dooropen,FS,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,ib_cgo_dooropen/VND/ABE/Unifi/FS,0,Yes
ib_cgo_dooropen,ABR,VND,station,2,0.65,Goal,Root/div/station,ib_cgo_dooropen/VND/ABR,2,No
ib_cgo_dooropen,",null,",ABR,vendor,3,42.79,Goal,Root/div/station/vendor,"ib_cgo_dooropen/VND/ABR/,null,",1,No
ib_cgo_dooropen,FS,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"ib_cgo_dooropen/VND/ABR/,null,/FS",0,Yes
ib_cgo_dooropen,Unifi,ABR,vendor,3,57.21,Goal,Root/div/station/vendor,ib_cgo_dooropen/VND/ABR/Unifi,1,No
ib_cgo_dooropen,FS,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,ib_cgo_dooropen/VND/ABR/Unifi/FS,0,Yes
ib_cgo_dooropen,ABY,VND,station,2,0.46,Goal,Root/div/station,ib_cgo_dooropen/VND/ABY,3,No
ib_cgo_dooropen,",null,",ABY,vendor,3,21.18,Goal,Root/div/station/vendor,"ib_cgo_dooropen/VND/ABY/,null,",1,No
ib_cgo_dooropen,FS,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"ib_cgo_dooropen/VND/ABY/,null,/FS",0,Yes
ib_cgo_dooropen,G2,ABY,vendor,3,31.49,Goal,Root/div/station/vendor,ib_cgo_dooropen/VND/ABY/G2,1,No
ib_cgo_dooropen,FS,G2,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,ib_cgo_dooropen/VND/ABY/G2/FS,0,Yes
ib_cgo_dooropen,Menzies Aviation,ABY,vendor,3,47.33,Goal,Root/div/station/vendor,ib_cgo_dooropen/VND/ABY/Menzies Aviation,1,No
ib_cgo_dooropen,FS,Menzies Aviation,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,ib_cgo_dooropen/VND/ABY/Menzies Aviation/FS,0,Yes
ib_cgo_dooropen,ACK,VND,station,2,0.47,Goal,Root/div/station,ib_cgo_dooropen/VND/ACK,1,No
ib_cgo_dooropen,Unifi,ACK,vendor,3,100.0,Goal,Root/div/station/vendor,ib_cgo_dooropen/VND/ACK/Unifi,1,No
ib_cgo_dooropen,FS,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,ib_cgo_dooropen/VND/ACK/Unifi/FS,0,Yes
ib_cgo_dooropen,AEX,VND,station,2,1.31,Goal,Root/div/station,ib_cgo_dooropen/VND/AEX,2,No
ib_cgo_dooropen,",null,",AEX,vendor,3,45.38,Goal,Root/div/station/vendor,"ib_cgo_dooropen/VND/AEX/,null,",1,No
ib_cgo_dooropen,FS,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"ib_cgo_dooropen/VND/AEX/,null,/FS",0,Yes
ib_cgo_dooropen,Unifi,AEX,vendor,3,54.62,Goal,Root/div/station/vendor,ib_cgo_dooropen/VND/AEX/Unifi,1,No
ib_cgo_dooropen,FS,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,ib_cgo_dooropen/VND/AEX/Unifi/FS,0,Yes
ib_cgo_dooropen,AGS,VND,station,2,1.03,Goal,Root/div/station,ib_cgo_dooropen/VND/AGS,2,No
ib_cgo_dooropen,",null,",AGS,vendor,3,49.82,Goal,Root/div/station/vendor,"ib_cgo_dooropen/VND/AGS/,null,",1,No
ib_cgo_dooropen,FS,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"ib_cgo_dooropen/VND/AGS/,null,/FS",0,Yes
ib_cgo_dooropen,Unifi,AGS,vendor,3,50.18,Goal,Root/div/station/vendor,ib_cgo_dooropen/VND/AGS/Unifi,1,No
ib_cgo_dooropen,FS,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,ib_cgo_dooropen/VND/AGS/Unifi/FS,0,Yes
ib_cgo_dooropen,APN,VND,station,2,0.91,Goal,Root/div/station,ib_cgo_dooropen/VND/APN,2,No
ib_cgo_dooropen,",null,",APN,vendor,3,0.38,Goal,Root/div/station/vendor,"ib_cgo_dooropen/VND/APN/,null,",1,No
ib_cgo_dooropen,FS,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"ib_cgo_dooropen/VND/APN/,null,/FS",0,Yes
ib_cgo_dooropen,Unifi,APN,vendor,3,99.62,Goal,Root/div/station/vendor,ib_cgo_dooropen/VND/APN/Unifi,1,No
ib_cgo_dooropen,FS,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,ib_cgo_dooropen/VND/APN/Unifi/FS,0,Yes
ib_cgo_dooropen,ASE,VND,station,2,0.49,Goal,Root/div/station,ib_cgo_dooropen/VND/ASE,2,No
ib_cgo_dooropen,",null,",ASE,vendor,3,39.68,Goal,Root/div/station/vendor,"ib_cgo_dooropen/VND/ASE/,null,",1,No
ib_cgo_dooropen,FS,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"ib_cgo_dooropen/VND/ASE/,null,/FS",0,Yes
ib_cgo_dooropen,SkyWest,ASE,vendor,3,60.32,Goal,Root/div/station/vendor,ib_cgo_dooropen/VND/ASE/SkyWest,1,No
ib_cgo_dooropen,FS,SkyWest,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,ib_cgo_dooropen/VND/ASE/SkyWest/FS,0,Yes
ib_cgo_dooropen,ATW,VND,station,2,0.83,Goal,Root/div/station,ib_cgo_dooropen/VND/ATW,2,No
ib_cgo_dooropen,",null,",ATW,vendor,3,98.1,Goal,Root/div/station/vendor,"ib_cgo_dooropen/VND/ATW/,null,",1,No
ib_cgo_dooropen,FS,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"ib_cgo_dooropen/VND/ATW/,null,/FS",0,Yes
ib_cgo_dooropen,Unifi,ATW,vendor,3,1.9,Goal,Root/div/station/vendor,ib_cgo_dooropen/VND/ATW/Unifi,1,No
ib_cgo_dooropen,FS,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,ib_cgo_dooropen/VND/ATW/Unifi/FS,0,Yes
ib_cgo_dooropen,ATY,VND,station,2,1.43,Goal,Root/div/station,ib_cgo_dooropen/VND/ATY,1,No
ib_cgo_dooropen,",null,",ATY,vendor,3,100.0,Goal,Root/div/station/vendor,"ib_cgo_dooropen/VND/ATY/,null,",1,No
ib_cgo_dooropen,FS,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"ib_cgo_dooropen/VND/ATY/,null,/FS",0,Yes
ib_cgo_dooropen,AVL,VND,station,2,0.48,Goal,Root/div/station,ib_cgo_dooropen/VND/AVL,2,No
ib_cgo_dooropen,",null,",AVL,vendor,3,38.39,Goal,Root/div/station/vendor,"ib_cgo_dooropen/VND/AVL/,null,",1,No
ib_cgo_dooropen,FS,",null,",vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,"ib_cgo_dooropen/VND/AVL/,null,/FS",0,Yes
ib_cgo_dooropen,Unifi,AVL,vendor,3,61.61,Goal,Root/div/station/vendor,ib_cgo_dooropen/VND/AVL/Unifi,1,No
ib_cgo_dooropen,FS,Unifi,vnd_typ,4,100.0,Goal,Root/div/station/vendor/vnd_typ,ib_cgo_dooropen/VND/AVL/Unifi/FS,0,Yes
